quarter,year,q,quarter_date,stata_qdate,itcrm,ln_itcrm,itcrm_daily_obs
2004Q1,2004,1,2004-01-01,176,159.01647990764744,5.069007844067138,91
2004Q2,2004,2,2004-04-01,177,153.01975060919855,5.0305670020101845,91
2004Q3,2004,3,2004-07-01,178,158.47096405885068,5.065571384477896,92
2004Q4,2004,4,2004-10-01,179,163.41826581826754,5.096312962091833,92
2005Q1,2005,1,2005-01-01,180,162.23892937896795,5.089070121385531,90
2005Q2,2005,2,2005-04-01,181,159.97943319646959,5.0750452644494635,91
2005Q3,2005,3,2005-07-01,182,160.05559952727955,5.07552125191621,92
2005Q4,2005,4,2005-10-01,183,163.87264588585222,5.099089576676958,92
2006Q1,2006,1,2006-01-01,184,166.77965187721765,5.116673491339342,90
2006Q2,2006,2,2006-04-01,185,166.0246105178015,5.112136033499024,91
2006Q3,2006,3,2006-07-01,186,165.9540555958801,5.111710976528889,92
2006Q4,2006,4,2006-10-01,187,163.56105535497915,5.097186347878285,92
2007Q1,2007,1,2007-01-01,188,163.24253183080532,5.09523702028504,90
2007Q2,2007,2,2007-04-01,189,161.94424944308818,5.08725213676269,91
2007Q3,2007,3,2007-07-01,190,157.58525044375656,5.059966584489253,92
2007Q4,2007,4,2007-10-01,191,158.8753428463374,5.068119887470075,92
2008Q1,2008,1,2008-01-01,192,159.28439423151988,5.070691247468816,91
2008Q2,2008,2,2008-04-01,193,152.77978975297697,5.028997601969951,91
2008Q3,2008,3,2008-07-01,194,142.70976281352287,4.960812937093701,92
2008Q4,2008,4,2008-10-01,195,128.30700795266304,4.854425891740664,92
2009Q1,2009,1,2009-01-01,196,132.84412450399967,4.889176444686586,90
2009Q2,2009,2,2009-04-01,197,142.65983117661054,4.960462993452378,91
2009Q3,2009,3,2009-07-01,198,150.66445260171682,5.015055195934798,92
2009Q4,2009,4,2009-10-01,199,149.4187174891864,5.00675254925012,92
2010Q1,2010,1,2010-01-01,200,137.01413178786902,4.92008407224462,90
2010Q2,2010,2,2010-04-01,201,129.13275029727657,4.860840947301898,91
2010Q3,2010,3,2010-07-01,202,128.1246572203723,4.853003674535902,92
2010Q4,2010,4,2010-10-01,203,126.67676725628871,4.841638702370154,92
2011Q1,2011,1,2011-01-01,204,125.84497705836108,4.8350508086541915,90
2011Q2,2011,2,2011-04-01,205,126.44972622393989,4.839844808020233,91
2011Q3,2011,3,2011-07-01,206,121.97360435430066,4.803804663572908,92
2011Q4,2011,4,2011-10-01,207,112.52451640893264,4.723171121537526,92
2012Q1,2012,1,2012-01-01,208,111.52249009795474,4.714226275474864,91
2012Q2,2012,2,2012-04-01,209,103.257584791302,4.637226689591501,91
2012Q3,2012,3,2012-07-01,210,100.68640939862051,4.612010829331622,92
2012Q4,2012,4,2012-10-01,211,101.28646579461183,4.617952797142212,92
2013Q1,2013,1,2013-01-01,212,102.87197275489662,4.633485232123409,90
2013Q2,2013,2,2013-04-01,213,100.8610373237707,4.613743701384217,91
2013Q3,2013,3,2013-07-01,214,97.67574741141982,4.581653292935608,92
2013Q4,2013,4,2013-10-01,215,100.0569830049666,4.605739853746264,92
2014Q1,2014,1,2014-01-01,216,111.60973802674842,4.715008304444623,90
2014Q2,2014,2,2014-04-01,217,109.951900046997,4.700042997860978,91
2014Q3,2014,3,2014-07-01,218,105.11638891535725,4.655068202123399,92
2014Q4,2014,4,2014-10-01,219,96.00269063873141,4.5643762185618595,92
2015Q1,2015,1,2015-01-01,220,88.15031676192419,4.479043502279557,90
2015Q2,2015,2,2015-04-01,221,84.59135472105598,4.437832071331978,91
2015Q3,2015,3,2015-07-01,222,79.29732919416644,4.373204448302711,92
2015Q4,2015,4,2015-10-01,223,78.91481958960355,4.368369037712596,92
2016Q1,2016,1,2016-01-01,224,100.4461532068811,4.609621794926664,91
2016Q2,2016,2,2016-04-01,225,92.58417675697508,4.528118249696455,91
2016Q3,2016,3,2016-07-01,226,92.81070122474145,4.530561948065683,92
2016Q4,2016,4,2016-10-01,227,90.23323667222243,4.502397836716505,92
2017Q1,2017,1,2017-01-01,228,88.60086092042903,4.484141574498691,90
2017Q2,2017,2,2017-04-01,229,84.28033121991413,4.434148518922501,91
2017Q3,2017,3,2017-07-01,230,91.41784054722537,4.5154406513954,92
2017Q4,2017,4,2017-10-01,231,87.86449389920023,4.475795785648433,92
2018Q1,2018,1,2018-01-01,232,94.9231091472028,4.553067186479943,90
2018Q2,2018,2,2018-04-01,233,100.92949860144779,4.614422239453308,91
2018Q3,2018,3,2018-07-01,234,119.62673667113573,4.784376367294787,92
2018Q4,2018,4,2018-10-01,235,121.52981190541574,4.80015959816009,92
2019Q1,2019,1,2019-01-01,236,117.51000612667666,4.76652348848334,90
2019Q2,2019,2,2019-04-01,237,118.0166728094676,4.770825909479955,91
2019Q3,2019,3,2019-07-01,238,122.56413731927104,4.808634462923089,92
2019Q4,2019,4,2019-10-01,239,126.6782508469827,4.841650413925781,92
