quarter,year,q,quarter_date,stata_qdate,gdp_real,imports_real,exports_real,ln_gdp_real,ln_imports_real,ln_exports_real
2004Q1,2004,1,2004-01-01,176,460369.4422329487,73073.43481112683,102774.20298138497,13.039784581413727,11.199220170812348,11.540289656750701
2004Q2,2004,2,2004-04-01,177,514395.6817723616,80006.3072174586,119462.27741173616,13.150748057182057,11.289860750766524,11.690755930324702
2004Q3,2004,3,2004-07-01,178,481151.97994350817,85416.07252113911,119619.17122810417,13.083938465799479,11.355289564892374,11.692068402202235
2004Q4,2004,4,2004-10-01,179,484543.67687656224,88375.32157266857,120898.05016710558,13.090962854601877,11.389348041921176,11.702702908822754
2005Q1,2005,1,2005-01-01,180,493602.530577855,84904.77744994142,119186.92694656595,13.109485878338647,11.349285642211445,11.68844835433177
2005Q2,2005,2,2005-04-01,181,581668.2498796023,97288.20329605682,138217.54798367395,13.273655546802901,11.485433020290023,11.836584157534869
2005Q3,2005,3,2005-07-01,182,514697.7895054282,96844.89303709043,135432.69307676284,13.151335190907373,11.480865936800438,11.816230065829856
2005Q4,2005,4,2005-10-01,183,522255.20005077147,99636.55792383588,129550.81848020395,13.165911636383644,11.509284423655332,11.771828503841421
2006Q1,2006,1,2006-01-01,184,532348.2120169173,96613.89163948668,125801.7430565732,13.185053088076302,11.478477815653335,11.74246247892811
2006Q2,2006,2,2006-04-01,185,614076.392608544,101743.86172984361,141431.39484319702,13.327874617319235,11.530213774505672,11.859570036393947
2006Q3,2006,3,2006-07-01,186,562978.9656268768,109844.576627056,139275.06000824482,13.240997545192755,11.60682170587988,11.84420610575049
2006Q4,2006,4,2006-10-01,187,572794.0466305886,112095.47619426234,144930.84608108603,13.258281501122376,11.627106253154636,11.884011984059772
2007Q1,2007,1,2007-01-01,188,576846.8856994272,112275.54046719316,129994.2930727219,13.265332147536022,11.628711311724741,11.77524582903351
2007Q2,2007,2,2007-04-01,189,674620.563006485,117677.32624788815,151852.5145033147,13.421905682921713,11.675701634486002,11.930665029463002
2007Q3,2007,3,2007-07-01,190,610425.6940148534,136188.56334207152,153959.99205222022,13.321911851799845,11.821795699583591,11.944448055775313
2007Q4,2007,4,2007-10-01,191,625876.8678635971,136704.05975474807,160654.21988093693,13.346908934031383,11.82557372055012,11.987009631742977
2008Q1,2008,1,2008-01-01,192,616720.3570644784,138615.196997182,138205.65471421785,13.33217097010638,11.839457006171523,11.836498106368778
2008Q2,2008,2,2008-04-01,193,711405.500455233,147043.53953203352,147769.55715328988,13.4749978703407,11.898484009198821,11.903409293028398
2008Q3,2008,3,2008-07-01,194,647087.9597424942,153056.79563738548,169221.2711681687,13.380237514385612,11.938564344808201,12.038962434376579
2008Q4,2008,4,2008-10-01,195,613490.8217026412,132326.80332668536,145677.599528055,13.3269205824713,11.793029924645309,11.88915123656155
2009Q1,2009,1,2009-01-01,196,578553.0442424044,108884.58517996113,127658.20658776328,13.268285514139063,11.598043748671946,11.757111710362343
2009Q2,2009,2,2009-04-01,197,631197.751860069,104729.45493210445,147851.62921163163,13.355374486815553,11.559135684247819,11.903964544574876
2009Q3,2009,3,2009-07-01,198,610519.8546117274,123133.64403046448,131625.13245280623,13.322066093890603,11.72102558133368,11.787713255724896
2009Q4,2009,4,2009-10-01,199,615220.8549372973,129128.9859125566,137574.77413312765,13.32973659604194,11.768567074580995,11.831922860153961
2010Q1,2010,1,2010-01-01,200,611607.3365897301,131091.92974987472,124821.26202219723,13.32384574869716,11.78365410988505,11.73463808917396
2010Q2,2010,2,2010-04-01,201,733730.7739689032,151260.05259704142,175584.3282140499,13.505897447353764,11.926755837136003,12.075874709127788
2010Q3,2010,3,2010-07-01,202,668566.5094889859,171903.47870439343,168049.61790716992,13.412891161209505,12.054688427957299,12.032014559465274
2010Q4,2010,4,2010-10-01,203,668190.0977195738,175630.3760945749,151952.376643681,13.41232798945882,12.076136929816295,11.931322439181363
2011Q1,2011,1,2011-01-01,204,662325.585972695,171680.48522975415,138279.54794538202,13.403512535725508,12.0533903842221,11.837032624905124
2011Q2,2011,2,2011-04-01,205,766332.9545716125,185834.80063049096,170971.2705204527,13.549372020825167,12.132613389386588,12.049250812717439
2011Q3,2011,3,2011-07-01,206,711417.3919301049,212358.1719142757,172841.45085261774,13.475014585667584,12.266029618232771,12.060129984205371
2011Q4,2011,4,2011-10-01,207,703050.4564079926,198767.51540656984,164054.8771545037,13.463183941201587,12.199891156465346,12.007956267630375
2012Q1,2012,1,2012-01-01,208,672685.9936305042,175963.63222419756,145984.1028063894,13.419033922673854,12.07803261757853,11.89125300987434
2012Q2,2012,2,2012-04-01,209,730838.2725927758,168790.0330989145,155692.76464038188,13.501947472931292,12.036410813778188,11.955639886866814
2012Q3,2012,3,2012-07-01,210,703461.6525301962,194333.56638199877,164111.32295096808,13.463768644498922,12.177331375885064,12.008300275008361
2012Q4,2012,4,2012-10-01,211,706958.0390823189,193210.37317505115,153813.21961273105,13.468726592455889,12.171534890701476,11.943494285628642
2013Q1,2013,1,2013-01-01,212,677085.5291731508,176602.613153124,131767.0547308842,13.425552879473315,12.08165736405908,11.788790905698727
2013Q2,2013,2,2013-04-01,213,776486.6027994199,190652.1070945469,168720.23462672776,13.56253466810513,12.158205617385908,12.035997205779521
2013Q3,2013,3,2013-07-01,214,721458.9442161823,202951.05150852748,159733.63225018964,13.48903075220373,12.220720103374722,11.981262908462783
2013Q4,2013,4,2013-10-01,215,706597.3450225071,190526.0773657585,137569.02973944266,13.468216256502028,12.15754435323954,11.831881104580294
2014Q1,2014,1,2014-01-01,216,671066.0466350628,174142.8791751422,119113.81889969677,13.416622841266465,12.067631385926541,11.68783477631796
2014Q2,2014,2,2014-04-01,217,760576.8683480041,169554.60524510773,152688.83294255967,13.541832461639395,12.040930308760307,11.936157357835489
2014Q3,2014,3,2014-07-01,218,690879.7982516835,173099.24330165779,147198.696369442,13.4457211342921,12.061620369702739,11.899538629051841
2014Q4,2014,4,2014-10-01,219,686701.4706187104,156603.1437184007,137067.84127832402,13.439654936180249,11.961470137167488,11.828231274055842
2015Q1,2015,1,2015-01-01,220,672749.8113916992,160419.64644001034,116284.29138088347,13.419128788234895,11.985548450953958,11.663793259572172
2015Q2,2015,2,2015-04-01,221,791235.9655416702,174021.0174703611,149591.7080612978,13.58135151521108,12.06693136096168,11.915664915588618
2015Q3,2015,3,2015-07-01,222,718281.2654497817,192990.26576942846,147404.70503841518,13.484616505932115,12.170395030187231,11.90093717843428
2015Q4,2015,4,2015-10-01,223,703681.5441690079,177694.95689144067,127344.36995735198,13.464081180765476,12.087823633838171,11.754650270222275
2016Q1,2016,1,2016-01-01,224,677652.0891157025,179480.42369351548,133430.0745609402,13.426389292322465,12.097821420759718,11.80133283353823
2016Q2,2016,2,2016-04-01,225,760703.2801516564,187899.66185803575,148260.21087746305,13.541998652993522,12.143663385815243,11.906724190558702
2016Q3,2016,3,2016-07-01,226,694382.4757762303,193030.1033736731,146914.0315983942,13.450778205512467,12.17060143175342,11.897602875628964
2016Q4,2016,4,2016-10-01,227,693173.5493470577,185783.3786412887,140767.7071609437,13.449035678777427,12.132336643024873,11.854866343850645
2017Q1,2017,1,2017-01-01,228,681444.7661102223,194211.6667513001,134667.5744060569,13.43197047930701,12.176703908994194,11.810564608891497
2017Q2,2017,2,2017-04-01,229,778401.6764493167,211208.75068866156,150287.56199874158,13.56499796356348,12.260602263140864,11.920305817817333
2017Q3,2017,3,2017-07-01,230,721120.4268527942,229079.8067032367,153867.07257565856,13.488561429854622,12.341825722711544,11.943844343561144
2017Q4,2017,4,2017-10-01,231,724592.9216389629,227978.62402592791,145441.11931488177,13.4933652887492,12.337007149269125,11.88752660544111
2018Q1,2018,1,2018-01-01,232,707324.2680572142,225441.6687326833,144939.93221966934,13.469244493275594,12.32581672921957,11.884074675019098
2018Q2,2018,2,2018-04-01,233,747428.2999545744,220135.4818205716,137726.1206501707,13.52439365985317,12.301998462248342,11.833022359175997
2018Q3,2018,3,2018-07-01,234,696101.5835218076,206728.92891598196,144474.37418546676,13.453250882002335,12.239163691929088,11.880857429530753
2018Q4,2018,4,2018-10-01,235,678655.6203844536,171694.68040516032,160897.22038331698,13.427869091404709,12.053473064490419,11.988521057401277
2019Q1,2019,1,2019-01-01,236,665848.7152997089,168867.2817768531,145979.48694396394,13.40881776951446,12.036868370454043,11.891221390435561
2019Q2,2019,2,2019-04-01,237,751784.4607771325,171113.94006205903,159369.0737788398,13.530204940541235,12.050084929747142,11.97897801007071
2019Q3,2019,3,2019-07-01,238,683900.8985525784,176396.74291737538,166474.09168042988,13.43556830095077,12.080490958197148,12.022594970771896
2019Q4,2019,4,2019-10-01,239,671361.13972242,153557.48180457173,173554.69540591474,13.417062482380873,11.941830250208273,12.064248075985402
2020Q1,2020,1,2020-01-01,240,632389.3535346101,147946.86528046793,139323.35480735442,13.357260549157733,11.90460846990851,11.844552804059061
2020Q2,2020,2,2020-04-01,241,609379.9894648014,118831.91607431165,136593.3283672289,13.320197308540402,11.685465303653878,11.824763384276222
2020Q3,2020,3,2020-07-01,242,614192.478404223,136935.27553956184,136347.82248110074,13.328063640746866,11.827263651857633,11.822964418077277
2020Q4,2020,4,2020-10-01,243,642403.3231979504,150921.0025940372,120573.80620850835,13.37297161469899,11.924511817271375,11.700017344067163
2021Q1,2021,1,2021-01-01,244,652831.9767063217,147517.1122590696,125271.19242964439,13.389075065357487,11.901699463348482,11.738236205669315
2021Q2,2021,2,2021-04-01,245,723516.6224906747,163057.52331432875,146242.5639765279,13.491878799897803,12.0018583213019,11.893021919196535
2021Q3,2021,3,2021-07-01,246,686756.4678266743,164904.0195560567,161505.18821382578,13.439735021935267,12.013118883969568,11.992292546291853
2021Q4,2021,4,2021-10-01,247,696134.6691121149,182089.20202110667,144860.42838246084,13.453298410703374,12.11225196698396,11.883525994961987
2022Q1,2022,1,2022-01-01,248,697625.284666358,182574.74792954684,135342.64275390128,13.455437396141335,12.114914945846781,11.815564936371848
2022Q2,2022,2,2022-04-01,249,782338.6285337352,204565.31484498063,157619.70172501827,13.570042954613045,12.22864259146652,11.967940459538246
2022Q3,2022,3,2022-07-01,250,732662.1638755014,201300.62896976204,157115.5484099105,13.504439979501885,12.212554736162307,11.964736790765272
