quarter,year,q,quarter_date,stata_qdate,usa_gdp_real,ln_usa_gdp_real
2004Q1,2004,1,2004-01-01,176,15248.68,9.632248220912203
2004Q2,2004,2,2004-04-01,177,15366.85,9.639967870831144
2004Q3,2004,3,2004-07-01,178,15512.619,9.649409100716316
2004Q4,2004,4,2004-10-01,179,15670.88,9.659559492037449
2005Q1,2005,1,2005-01-01,180,15844.727,9.670592042566685
2005Q2,2005,2,2005-04-01,181,15922.782,9.675506192875309
2005Q3,2005,3,2005-07-01,182,16047.587,9.68331377457644
2005Q4,2005,4,2005-10-01,183,16136.734,9.688853566948517
2006Q1,2006,1,2006-01-01,184,16353.835,9.70221770539623
2006Q2,2006,2,2006-04-01,185,16396.151,9.704801891145129
2006Q3,2006,3,2006-07-01,186,16420.738,9.70630032718521
2006Q4,2006,4,2006-10-01,187,16561.866,9.714858102750625
2007Q1,2007,1,2007-01-01,188,16611.69,9.717861943367756
2007Q2,2007,2,2007-04-01,189,16713.314,9.723960926282437
2007Q3,2007,3,2007-07-01,190,16809.587,9.729704657391745
2007Q4,2007,4,2007-10-01,191,16915.191,9.73596737290394
2008Q1,2008,1,2008-01-01,192,16843.003,9.731690597313907
2008Q2,2008,2,2008-04-01,193,16943.291,9.737627223245223
2008Q3,2008,3,2008-07-01,194,16854.295,9.73236079944244
2008Q4,2008,4,2008-10-01,195,16485.35,9.710227386702954
2009Q1,2009,1,2009-01-01,196,16298.262,9.698813755343052
2009Q2,2009,2,2009-04-01,197,16269.145,9.697025648125424
2009Q3,2009,3,2009-07-01,198,16326.281,9.700531419672563
2009Q4,2009,4,2009-10-01,199,16502.754,9.711282555051808
2010Q1,2010,1,2010-01-01,200,16582.71,9.716115865272487
2010Q2,2010,2,2010-04-01,201,16743.162,9.725745215095095
2010Q3,2010,3,2010-07-01,202,16872.266,9.733426487800099
2010Q4,2010,4,2010-10-01,203,16960.864,9.73866385144455
2011Q1,2011,1,2011-01-01,204,16920.632,9.7362889847085
2011Q2,2011,2,2011-04-01,205,17035.114,9.743032022177166
2011Q3,2011,3,2011-07-01,206,17031.313,9.742808869921381
2011Q4,2011,4,2011-10-01,207,17222.583,9.753976766732846
2012Q1,2012,1,2012-01-01,208,17367.01,9.762327708551636
2012Q2,2012,2,2012-04-01,209,17444.525,9.766781124817959
2012Q3,2012,3,2012-07-01,210,17469.65,9.76822036858282
2012Q4,2012,4,2012-10-01,211,17489.852,9.769376105998571
2013Q1,2013,1,2013-01-01,212,17662.4,9.779193365264087
2013Q2,2013,2,2013-04-01,213,17709.671,9.781866153529224
2013Q3,2013,3,2013-07-01,214,17860.45,9.790344050081721
2013Q4,2013,4,2013-10-01,215,18016.147,9.799023690319984
2014Q1,2014,1,2014-01-01,216,17953.974,9.795566762170324
2014Q2,2014,2,2014-04-01,217,18185.911,9.808402452399474
2014Q3,2014,3,2014-07-01,218,18406.941,9.820483100725255
2014Q4,2014,4,2014-10-01,219,18500.031,9.825527686740688
2015Q1,2015,1,2015-01-01,220,18666.621,9.834492234617613
2015Q2,2015,2,2015-04-01,221,18782.243,9.84066718120015
2015Q3,2015,3,2015-07-01,222,18857.418,9.84466164331584
2015Q4,2015,4,2015-10-01,223,18892.206,9.846504735042945
2016Q1,2016,1,2016-01-01,224,19001.69,9.852283201561416
2016Q2,2016,2,2016-04-01,225,19062.709,9.85548929722409
2016Q3,2016,3,2016-07-01,226,19197.938,9.862558156415194
2016Q4,2016,4,2016-10-01,227,19304.352,9.868085841701404
2017Q1,2017,1,2017-01-01,228,19398.343,9.87294292903244
2017Q2,2017,2,2017-04-01,229,19506.949,9.878526040045418
2017Q3,2017,3,2017-07-01,230,19660.766,9.886380355302267
2017Q4,2017,4,2017-10-01,231,19882.352,9.89758778307166
2018Q1,2018,1,2018-01-01,232,20044.077,9.90568897762083
2018Q2,2018,2,2018-04-01,233,20150.476,9.910983189924599
2018Q3,2018,3,2018-07-01,234,20276.154,9.917200794749824
2018Q4,2018,4,2018-10-01,235,20304.874,9.918616234733008
2019Q1,2019,1,2019-01-01,236,20431.641,9.924840007640276
2019Q2,2019,2,2019-04-01,237,20602.275,9.933156785573171
2019Q3,2019,3,2019-07-01,238,20843.322,9.944788888154081
2019Q4,2019,4,2019-10-01,239,20985.448,9.951584524122135
2020Q1,2020,1,2020-01-01,240,20709.212,9.938333904414169
