quarter,year,q,quarter_date,stata_qdate,commodity_price_index,ln_commodity_price_index,commodity_monthly_obs
2004Q1,2004,1,2004-01-01,176,49.420678279773334,3.9003689252694635,3
2004Q2,2004,2,2004-04-01,177,52.83770588241,3.9672250624059697,3
2004Q3,2004,3,2004-07-01,178,56.42361893053333,4.032887846206149,3
2004Q4,2004,4,2004-10-01,179,59.284271416773336,4.082344033330821,3
2005Q1,2005,1,2005-01-01,180,63.16151641714,4.145695198236972,3
2005Q2,2005,2,2005-04-01,181,66.77770114220667,4.201369209577464,3
2005Q3,2005,3,2005-07-01,182,76.70246437865667,4.339933837956876,3
2005Q4,2005,4,2005-10-01,183,76.30541079280667,4.3347438504917655,3
2006Q1,2006,1,2006-01-01,184,78.09387090280667,4.357911576209223,3
2006Q2,2006,2,2006-04-01,185,85.14130918244334,4.44431233710165,3
2006Q3,2006,3,2006-07-01,186,85.57114051235332,4.449348082754759,3
2006Q4,2006,4,2006-10-01,187,79.81875693189,4.379758526107815,3
2007Q1,2007,1,2007-01-01,188,79.86404637875667,4.3803257687556405,3
2007Q2,2007,2,2007-04-01,189,89.78584634876,4.497427349843151,3
2007Q3,2007,3,2007-07-01,190,94.1764239738,4.545169873971357,3
2007Q4,2007,4,2007-10-01,191,107.73057935716,4.6796334747544455,3
2008Q1,2008,1,2008-01-01,192,120.34374440772001,4.790352184545963,3
2008Q2,2008,2,2008-04-01,193,145.87198351953333,4.982729411863581,3
2008Q3,2008,3,2008-07-01,194,138.39773156733668,4.930131652639828,3
2008Q4,2008,4,2008-10-01,195,80.92549279066,4.393528889267477,3
2009Q1,2009,1,2009-01-01,196,68.31159850828,4.2240795692645765,3
2009Q2,2009,2,2009-04-01,197,77.68820884783,4.352703493577879,3
2009Q3,2009,3,2009-07-01,198,84.71501865488,4.439292901817565,3
2009Q4,2009,4,2009-10-01,199,92.79516729525334,4.530394561876354,3
2010Q1,2010,1,2010-01-01,200,96.85576520361,4.573222915222378,3
2010Q2,2010,2,2010-04-01,201,96.96107485969667,4.5743096078587415,3
2010Q3,2010,3,2010-07-01,202,96.95839197626333,4.574281937780257,3
2010Q4,2010,4,2010-10-01,203,109.22476796043334,4.693407850417146,3
2011Q1,2011,1,2011-01-01,204,127.40752283053332,4.84739079030003,3
2011Q2,2011,2,2011-04-01,205,135.69590412324334,4.910416383063583,3
2011Q3,2011,3,2011-07-01,206,132.1280114855,4.883771236630746,3
2011Q4,2011,4,2011-10-01,207,125.03358844213334,4.828582408743964,3
2012Q1,2012,1,2012-01-01,208,131.42297761537665,4.878420958459867,3
2012Q2,2012,2,2012-04-01,209,123.24908882980667,4.814207420033863,3
2012Q3,2012,3,2012-07-01,210,124.57665091101667,4.824921196425767,3
2012Q4,2012,4,2012-10-01,211,124.77757746632666,4.826532772055379,3
2013Q1,2013,1,2013-01-01,212,126.59558237524666,4.840997614750911,3
2013Q2,2013,2,2013-04-01,213,117.94242023755,4.770196541283886,3
2013Q3,2013,3,2013-07-01,214,121.08771190784333,4.796515174789938,3
2013Q4,2013,4,2013-10-01,215,120.78779606454,4.794035254441455,3
2014Q1,2014,1,2014-01-01,216,120.8032223691,4.7941629603858305,3
2014Q2,2014,2,2014-04-01,217,121.39264245558667,4.799030270986376,3
2014Q3,2014,3,2014-07-01,218,113.87474015606,4.7350990737427,3
2014Q4,2014,4,2014-10-01,219,93.79450612645999,4.541106284216501,3
2015Q1,2015,1,2015-01-01,220,74.95356385621334,4.316868773200851,3
2015Q2,2015,2,2015-04-01,221,78.94854771313,4.368796345511941,3
2015Q3,2015,3,2015-07-01,222,68.84645231621667,4.231878696123269,3
2015Q4,2015,4,2015-10-01,223,62.027853804340005,4.127583539069029,3
