quarter,year,q,quarter_date,stata_qdate,brazil_gdp_real,ln_brazil_gdp_real
2004Q1,2004,1,2004-01-01,176,212575,12.267050146253993
2004Q2,2004,2,2004-04-01,177,218449.6,12.294310603295278
2004Q3,2004,3,2004-07-01,178,221208.8,12.306862330840802
2004Q4,2004,4,2004-10-01,179,222893.7,12.314450255179107
2005Q1,2005,1,2005-01-01,180,224871.1,12.323282628134127
2005Q2,2005,2,2005-04-01,181,227267,12.333880816722534
2005Q3,2005,3,2005-07-01,182,225936,12.328007052309033
2005Q4,2005,4,2005-10-01,183,228834.3,12.340753439839423
2006Q1,2006,1,2006-01-01,184,232502.5,12.35665625663991
2006Q2,2006,2,2006-04-01,185,233239,12.359818957897645
2006Q3,2006,3,2006-07-01,186,237150.4,12.37644981800049
2006Q4,2006,4,2006-10-01,187,239932.5,12.38811291276593
2007Q1,2007,1,2007-01-01,188,244393.3,12.406534091828519
2007Q2,2007,2,2007-04-01,189,248520.5,12.423280616086117
2007Q3,2007,3,2007-07-01,190,251111.8,12.433653537271319
2007Q4,2007,4,2007-10-01,191,254883.3,12.448561072329364
2008Q1,2008,1,2008-01-01,192,258110,12.461141129628757
2008Q2,2008,2,2008-04-01,193,263338.2,12.481194416616981
2008Q3,2008,3,2008-07-01,194,267624,12.497338289313307
2008Q4,2008,4,2008-10-01,195,257538.7,12.458925279055464
2009Q1,2009,1,2009-01-01,196,253855.6,12.44452088040403
2009Q2,2009,2,2009-04-01,197,258518.6,12.462722923920422
2009Q3,2009,3,2009-07-01,198,264555.3,12.485805582151633
2009Q4,2009,4,2009-10-01,199,271387.7,12.51130370479584
2010Q1,2010,1,2010-01-01,200,276993.7,12.531750041228523
2010Q2,2010,2,2010-04-01,201,280519.4,12.544398163763631
2010Q3,2010,3,2010-07-01,202,282976.4,12.553118780921901
2010Q4,2010,4,2010-10-01,203,287037.1,12.567366754680016
2011Q1,2011,1,2011-01-01,204,290892.8,12.580710093403527
2011Q2,2011,2,2011-04-01,205,293829.9,12.590756307455212
2011Q3,2011,3,2011-07-01,206,293160,12.588473814039787
2011Q4,2011,4,2011-10-01,207,295888.9,12.597739325011483
2012Q1,2012,1,2012-01-01,208,291619.2,12.583204120570443
2012Q2,2012,2,2012-04-01,209,296886.7,12.601105863520784
2012Q3,2012,3,2012-07-01,210,302034.2,12.618295534978385
2012Q4,2012,4,2012-10-01,211,302086.6,12.618469010217547
2013Q1,2013,1,2013-01-01,212,303705.2,12.623812773047284
