quarter,year,q,quarter_date,stata_qdate,gdp_real,imports_real,exports_real,ln_gdp_real,ln_imports_real,ln_exports_real,itcrm,ln_itcrm,itcrm_daily_obs,usa_gdp_real,ln_usa_gdp_real,brazil_gdp_real,ln_brazil_gdp_real,commodity_price_index,ln_commodity_price_index,commodity_monthly_obs
2004Q1,2004,1,2004-01-01,176,460369.4422329487,73073.43481112683,102774.20298138497,13.039784581413727,11.199220170812348,11.540289656750701,159.01647990764744,5.069007844067138,91,15248.68,9.632248220912203,212575,12.267050146253993,49.420678279773334,3.9003689252694635,3
2004Q2,2004,2,2004-04-01,177,514395.6817723616,80006.3072174586,119462.27741173616,13.150748057182057,11.289860750766524,11.690755930324702,153.01975060919855,5.0305670020101845,91,15366.85,9.639967870831144,218449.6,12.294310603295278,52.83770588241,3.9672250624059697,3
2004Q3,2004,3,2004-07-01,178,481151.97994350817,85416.07252113911,119619.17122810417,13.083938465799479,11.355289564892374,11.692068402202235,158.47096405885068,5.065571384477896,92,15512.619,9.649409100716316,221208.8,12.306862330840802,56.42361893053333,4.032887846206149,3
2004Q4,2004,4,2004-10-01,179,484543.67687656224,88375.32157266857,120898.05016710558,13.090962854601877,11.389348041921176,11.702702908822754,163.41826581826754,5.096312962091833,92,15670.88,9.659559492037449,222893.7,12.314450255179107,59.284271416773336,4.082344033330821,3
2005Q1,2005,1,2005-01-01,180,493602.530577855,84904.77744994142,119186.92694656595,13.109485878338647,11.349285642211445,11.68844835433177,162.23892937896795,5.089070121385531,90,15844.727,9.670592042566685,224871.1,12.323282628134127,63.16151641714,4.145695198236972,3
2005Q2,2005,2,2005-04-01,181,581668.2498796023,97288.20329605682,138217.54798367395,13.273655546802901,11.485433020290023,11.836584157534869,159.97943319646959,5.0750452644494635,91,15922.782,9.675506192875309,227267,12.333880816722534,66.77770114220667,4.201369209577464,3
2005Q3,2005,3,2005-07-01,182,514697.7895054282,96844.89303709043,135432.69307676284,13.151335190907373,11.480865936800438,11.816230065829856,160.05559952727955,5.07552125191621,92,16047.587,9.68331377457644,225936,12.328007052309033,76.70246437865667,4.339933837956876,3
2005Q4,2005,4,2005-10-01,183,522255.20005077147,99636.55792383588,129550.81848020395,13.165911636383644,11.509284423655332,11.771828503841421,163.87264588585222,5.099089576676958,92,16136.734,9.688853566948517,228834.3,12.340753439839423,76.30541079280667,4.3347438504917655,3
2006Q1,2006,1,2006-01-01,184,532348.2120169173,96613.89163948668,125801.7430565732,13.185053088076302,11.478477815653335,11.74246247892811,166.77965187721765,5.116673491339342,90,16353.835,9.70221770539623,232502.5,12.35665625663991,78.09387090280667,4.357911576209223,3
2006Q2,2006,2,2006-04-01,185,614076.392608544,101743.86172984361,141431.39484319702,13.327874617319235,11.530213774505672,11.859570036393947,166.0246105178015,5.112136033499024,91,16396.151,9.704801891145129,233239,12.359818957897645,85.14130918244334,4.44431233710165,3
2006Q3,2006,3,2006-07-01,186,562978.9656268768,109844.576627056,139275.06000824482,13.240997545192755,11.60682170587988,11.84420610575049,165.9540555958801,5.111710976528889,92,16420.738,9.70630032718521,237150.4,12.37644981800049,85.57114051235332,4.449348082754759,3
2006Q4,2006,4,2006-10-01,187,572794.0466305886,112095.47619426234,144930.84608108603,13.258281501122376,11.627106253154636,11.884011984059772,163.56105535497915,5.097186347878285,92,16561.866,9.714858102750625,239932.5,12.38811291276593,79.81875693189,4.379758526107815,3
2007Q1,2007,1,2007-01-01,188,576846.8856994272,112275.54046719316,129994.2930727219,13.265332147536022,11.628711311724741,11.77524582903351,163.24253183080532,5.09523702028504,90,16611.69,9.717861943367756,244393.3,12.406534091828519,79.86404637875667,4.3803257687556405,3
2007Q2,2007,2,2007-04-01,189,674620.563006485,117677.32624788815,151852.5145033147,13.421905682921713,11.675701634486002,11.930665029463002,161.94424944308818,5.08725213676269,91,16713.314,9.723960926282437,248520.5,12.423280616086117,89.78584634876,4.497427349843151,3
2007Q3,2007,3,2007-07-01,190,610425.6940148534,136188.56334207152,153959.99205222022,13.321911851799845,11.821795699583591,11.944448055775313,157.58525044375656,5.059966584489253,92,16809.587,9.729704657391745,251111.8,12.433653537271319,94.1764239738,4.545169873971357,3
2007Q4,2007,4,2007-10-01,191,625876.8678635971,136704.05975474807,160654.21988093693,13.346908934031383,11.82557372055012,11.987009631742977,158.8753428463374,5.068119887470075,92,16915.191,9.73596737290394,254883.3,12.448561072329364,107.73057935716,4.6796334747544455,3
2008Q1,2008,1,2008-01-01,192,616720.3570644784,138615.196997182,138205.65471421785,13.33217097010638,11.839457006171523,11.836498106368778,159.28439423151988,5.070691247468816,91,16843.003,9.731690597313907,258110,12.461141129628757,120.34374440772001,4.790352184545963,3
2008Q2,2008,2,2008-04-01,193,711405.500455233,147043.53953203352,147769.55715328988,13.4749978703407,11.898484009198821,11.903409293028398,152.77978975297697,5.028997601969951,91,16943.291,9.737627223245223,263338.2,12.481194416616981,145.87198351953333,4.982729411863581,3
2008Q3,2008,3,2008-07-01,194,647087.9597424942,153056.79563738548,169221.2711681687,13.380237514385612,11.938564344808201,12.038962434376579,142.70976281352287,4.960812937093701,92,16854.295,9.73236079944244,267624,12.497338289313307,138.39773156733668,4.930131652639828,3
2008Q4,2008,4,2008-10-01,195,613490.8217026412,132326.80332668536,145677.599528055,13.3269205824713,11.793029924645309,11.88915123656155,128.30700795266304,4.854425891740664,92,16485.35,9.710227386702954,257538.7,12.458925279055464,80.92549279066,4.393528889267477,3
2009Q1,2009,1,2009-01-01,196,578553.0442424044,108884.58517996113,127658.20658776328,13.268285514139063,11.598043748671946,11.757111710362343,132.84412450399967,4.889176444686586,90,16298.262,9.698813755343052,253855.6,12.44452088040403,68.31159850828,4.2240795692645765,3
2009Q2,2009,2,2009-04-01,197,631197.751860069,104729.45493210445,147851.62921163163,13.355374486815553,11.559135684247819,11.903964544574876,142.65983117661054,4.960462993452378,91,16269.145,9.697025648125424,258518.6,12.462722923920422,77.68820884783,4.352703493577879,3
2009Q3,2009,3,2009-07-01,198,610519.8546117274,123133.64403046448,131625.13245280623,13.322066093890603,11.72102558133368,11.787713255724896,150.66445260171682,5.015055195934798,92,16326.281,9.700531419672563,264555.3,12.485805582151633,84.71501865488,4.439292901817565,3
2009Q4,2009,4,2009-10-01,199,615220.8549372973,129128.9859125566,137574.77413312765,13.32973659604194,11.768567074580995,11.831922860153961,149.4187174891864,5.00675254925012,92,16502.754,9.711282555051808,271387.7,12.51130370479584,92.79516729525334,4.530394561876354,3
2010Q1,2010,1,2010-01-01,200,611607.3365897301,131091.92974987472,124821.26202219723,13.32384574869716,11.78365410988505,11.73463808917396,137.01413178786902,4.92008407224462,90,16582.71,9.716115865272487,276993.7,12.531750041228523,96.85576520361,4.573222915222378,3
2010Q2,2010,2,2010-04-01,201,733730.7739689032,151260.05259704142,175584.3282140499,13.505897447353764,11.926755837136003,12.075874709127788,129.13275029727657,4.860840947301898,91,16743.162,9.725745215095095,280519.4,12.544398163763631,96.96107485969667,4.5743096078587415,3
2010Q3,2010,3,2010-07-01,202,668566.5094889859,171903.47870439343,168049.61790716992,13.412891161209505,12.054688427957299,12.032014559465274,128.1246572203723,4.853003674535902,92,16872.266,9.733426487800099,282976.4,12.553118780921901,96.95839197626333,4.574281937780257,3
2010Q4,2010,4,2010-10-01,203,668190.0977195738,175630.3760945749,151952.376643681,13.41232798945882,12.076136929816295,11.931322439181363,126.67676725628871,4.841638702370154,92,16960.864,9.73866385144455,287037.1,12.567366754680016,109.22476796043334,4.693407850417146,3
2011Q1,2011,1,2011-01-01,204,662325.585972695,171680.48522975415,138279.54794538202,13.403512535725508,12.0533903842221,11.837032624905124,125.84497705836108,4.8350508086541915,90,16920.632,9.7362889847085,290892.8,12.580710093403527,127.40752283053332,4.84739079030003,3
2011Q2,2011,2,2011-04-01,205,766332.9545716125,185834.80063049096,170971.2705204527,13.549372020825167,12.132613389386588,12.049250812717439,126.44972622393989,4.839844808020233,91,17035.114,9.743032022177166,293829.9,12.590756307455212,135.69590412324334,4.910416383063583,3
2011Q3,2011,3,2011-07-01,206,711417.3919301049,212358.1719142757,172841.45085261774,13.475014585667584,12.266029618232771,12.060129984205371,121.97360435430066,4.803804663572908,92,17031.313,9.742808869921381,293160,12.588473814039787,132.1280114855,4.883771236630746,3
2011Q4,2011,4,2011-10-01,207,703050.4564079926,198767.51540656984,164054.8771545037,13.463183941201587,12.199891156465346,12.007956267630375,112.52451640893264,4.723171121537526,92,17222.583,9.753976766732846,295888.9,12.597739325011483,125.03358844213334,4.828582408743964,3
2012Q1,2012,1,2012-01-01,208,672685.9936305042,175963.63222419756,145984.1028063894,13.419033922673854,12.07803261757853,11.89125300987434,111.52249009795474,4.714226275474864,91,17367.01,9.762327708551636,291619.2,12.583204120570443,131.42297761537665,4.878420958459867,3
2012Q2,2012,2,2012-04-01,209,730838.2725927758,168790.0330989145,155692.76464038188,13.501947472931292,12.036410813778188,11.955639886866814,103.257584791302,4.637226689591501,91,17444.525,9.766781124817959,296886.7,12.601105863520784,123.24908882980667,4.814207420033863,3
