"package","source","role","required_for_alignment","installed","version","status"
"dynlm","clase_01, clase_04, clase_05, clase_06","Modelos dinamicos y ADF de clase",TRUE,TRUE,"0.3.6","available"
"forecast","clase_03, clase_04","ARIMA y pronosticos Box-Jenkins",TRUE,TRUE,"8.21.1","available"
"ivreg","clase_01","Variables instrumentales",TRUE,TRUE,"0.6.7","available"
"lmtest","clase_01, clase_02, clase_03, clase_04","Contrastes y diagnosticos de regresion",TRUE,TRUE,"0.9.40","available"
"lpirfs","clase_11","Proyecciones locales e IRF",TRUE,TRUE,"0.2.5","available"
"mFilter","clase_09","Filtro Hodrick-Prescott",TRUE,TRUE,"0.1.5","available"
"nlme","clase_01","Modelos GLS y maxima verosimilitud",TRUE,TRUE,"3.1.168","available"
"readxl","clase_01, clase_04, clase_09","Lectura de planillas Excel",TRUE,TRUE,"1.4.3","available"
"sandwich","clase_01","Errores estandar robustos",TRUE,TRUE,"3.0.2","available"
"sarima","clase_04","Modelos SARIMA",TRUE,TRUE,"0.9.5","available"
"seasonal","clase_09","Ajuste estacional",TRUE,TRUE,"1.10.0","available"
"strucchangeRcpp","clase_06","Quiebres estructurales con implementacion Rcpp",TRUE,TRUE,"1.5.4.1.0.1","available"
"urca","clase_03, clase_04, clase_05, clase_06, clase_10, clase_11","Raices unitarias, Engle-Granger y Johansen",TRUE,TRUE,"1.3.4","available"
"vars","clase_07, clase_08, clase_09, clase_10, clase_11","VAR, VEC, IRF y SVAR de clase",TRUE,TRUE,"1.5.9","available"
"svars","consigna TP3: paquete SVAR disponible en CRAN como svars","Modelos SVAR del ecosistema CRAN",FALSE,FALSE,NA,"missing"
