"series_key","series_label","variable","quarter","n","mean","sd","min","max"
"imports","Importaciones reales","d_ln_imports_real","Q1",18,-0.0315,0.0592,-0.195,0.0444
"imports","Importaciones reales","d_ln_imports_real","Q2",19,0.0406,0.0843,-0.2191,0.1431
"imports","Importaciones reales","d_ln_imports_real","Q3",19,0.0677,0.0641,-0.0628,0.1619
"imports","Importaciones reales","d_ln_imports_real","Q4",19,-0.0298,0.0806,-0.1857,0.0991
"exports","Exportaciones reales","d_ln_exports_real","Q1",18,-0.0863,0.0729,-0.2197,0.0467
"exports","Exportaciones reales","d_ln_exports_real","Q2",19,0.1415,0.0945,-0.0511,0.3412
"exports","Exportaciones reales","d_ln_exports_real","Q3",19,0.0059,0.0558,-0.1163,0.1356
"exports","Exportaciones reales","d_ln_exports_real","Q4",19,-0.0443,0.076,-0.1498,0.1077
"gdp_arg","PIB real Argentina","d_ln_gdp_real","Q1",18,-0.019,0.0259,-0.0598,0.0191
"gdp_arg","PIB real Argentina","d_ln_gdp_real","Q2",19,0.1182,0.0488,-0.0371,0.1821
"gdp_arg","PIB real Argentina","d_ln_gdp_real","Q3",19,-0.0747,0.0298,-0.1223,0.0079
"gdp_arg","PIB real Argentina","d_ln_gdp_real","Q4",19,-0.0024,0.0224,-0.0533,0.0449
"itcrm","Tipo de cambio real multilateral","d_ln_itcrm","Q1",18,0.0094,0.076,-0.0867,0.2413
"itcrm","Tipo de cambio real multilateral","d_ln_itcrm","Q2",19,-0.0226,0.0398,-0.0815,0.0713
"itcrm","Tipo de cambio real multilateral","d_ln_itcrm","Q3",19,0.0005,0.06,-0.0699,0.17
"itcrm","Tipo de cambio real multilateral","d_ln_itcrm","Q4",19,-0.0164,0.0429,-0.1064,0.033
"pib_socios","PIB socios comerciales","d_ln_pib_socios","Q1",18,0.0035,0.0101,-0.0202,0.0159
"pib_socios","PIB socios comerciales","d_ln_pib_socios","Q2",19,0.0019,0.0237,-0.0899,0.0216
"pib_socios","PIB socios comerciales","d_ln_pib_socios","Q3",19,0.0094,0.0174,-0.0106,0.0758
"pib_socios","PIB socios comerciales","d_ln_pib_socios","Q4",19,0.0063,0.0125,-0.0337,0.03
"commodities","Indice de precios de commodities","d_ln_commodity_price_index","Q1",18,0.013,0.1188,-0.2242,0.2219
"commodities","Indice de precios de commodities","d_ln_commodity_price_index","Q2",19,0.0419,0.1044,-0.2658,0.1924
"commodities","Indice de precios de commodities","d_ln_commodity_price_index","Q3",19,0.0176,0.077,-0.1369,0.1905
"commodities","Indice de precios de commodities","d_ln_commodity_price_index","Q4",19,-0.0209,0.1561,-0.5366,0.1345
