"series_key","series_label","variable","transformation","first_quarter","last_quarter","n","mean","sd","min","p25","median","p75","max","start_value","end_value","range"
"imports","Importaciones reales","ln_imports_real","log_level","2004Q1","2022Q4",76,11.9359,0.2798,11.1992,11.7799,12.0389,12.1354,12.3418,11.1992,12.1251,1.1426
"imports","Importaciones reales","d_ln_imports_real","log_difference","2004Q2","2022Q4",75,0.0123,0.0838,-0.2191,-0.034,0.0151,0.0766,0.1619,0.0906,-0.0875,0.381
"exports","Exportaciones reales","ln_exports_real","log_level","2004Q1","2022Q4",76,11.8732,0.1101,11.5403,11.8143,11.8858,11.9447,12.0759,11.5403,11.9456,0.5356
"exports","Exportaciones reales","d_ln_exports_real","log_difference","2004Q2","2022Q4",75,0.0054,0.114,-0.2197,-0.0696,-0.0091,0.0656,0.3412,0.1505,-0.0192,0.5609
"gdp_arg","PIB real Argentina","ln_gdp_real","log_level","2004Q1","2022Q4",76,13.3952,0.1232,13.0398,13.328,13.426,13.475,13.5814,13.0398,13.4769,0.5416
"gdp_arg","PIB real Argentina","d_ln_gdp_real","log_difference","2004Q2","2022Q4",75,0.0058,0.0784,-0.1223,-0.0519,-0.0088,0.035,0.1821,0.111,-0.0276,0.3044
"itcrm","Tipo de cambio real multilateral","ln_itcrm","log_level","2004Q1","2025Q4",88,4.7474,0.2237,4.3684,4.5625,4.7262,4.9302,5.1167,5.069,4.5699,0.7483
"itcrm","Tipo de cambio real multilateral","d_ln_itcrm","log_difference","2004Q2","2025Q4",87,-0.0057,0.0644,-0.2348,-0.0412,-0.0083,0.0167,0.2413,-0.0384,0.0132,0.4761
"pib_socios","PIB socios comerciales","ln_pib_socios","log_level","2004Q1","2025Q4",88,4.8769,0.1182,4.6052,4.7953,4.9,4.9437,5.0792,4.6052,5.0792,0.474
"pib_socios","PIB socios comerciales","d_ln_pib_socios","log_difference","2004Q2","2025Q4",87,0.0054,0.0156,-0.0899,0.003,0.0075,0.0107,0.0758,0.0216,0.0014,0.1657
"commodities","Indice de precios de commodities","ln_commodity_price_index","log_level","2004Q1","2025Q4",88,4.5165,0.2724,3.9004,4.3376,4.5358,4.7419,5.0317,3.9004,4.546,1.1314
"commodities","Indice de precios de commodities","d_ln_commodity_price_index","log_difference","2004Q2","2025Q4",87,0.0074,0.1116,-0.5366,-0.0527,0.0181,0.0688,0.2219,0.0669,-0.0308,0.7585
