"series_key","series_label","variable","transformation","deterministic","n_obs","adf_lag","statistic","p_value","critical_value_5pct","null_hypothesis","conclusion_5pct","note"
"imports","Importaciones reales","ln_imports_real","log_level","trend",76,4,-2.84070184398376,0.00602976401069117,-3.45,"raiz unitaria","no rechaza raiz unitaria al 5%","ADF por regresion auxiliar en R base; p-value OLS reportado solo como referencia no Dickey-Fuller."
"imports","Importaciones reales","d_ln_imports_real","log_difference","drift",75,4,-3.84665136112585,0.000278537779393287,-2.89,"raiz unitaria","rechaza raiz unitaria al 5%","ADF por regresion auxiliar en R base; p-value OLS reportado solo como referencia no Dickey-Fuller."
"exports","Exportaciones reales","ln_exports_real","log_level","trend",76,4,-3.52970430096136,0.000776593492479524,-3.45,"raiz unitaria","rechaza raiz unitaria al 5%","ADF por regresion auxiliar en R base; p-value OLS reportado solo como referencia no Dickey-Fuller."
"exports","Exportaciones reales","d_ln_exports_real","log_difference","drift",75,4,-4.26741477453179,0.0000666463992258642,-2.89,"raiz unitaria","rechaza raiz unitaria al 5%","ADF por regresion auxiliar en R base; p-value OLS reportado solo como referencia no Dickey-Fuller."
"gdp_arg","PIB real Argentina","ln_gdp_real","log_level","trend",76,4,-2.9231545464653,0.00478534259587318,-3.45,"raiz unitaria","no rechaza raiz unitaria al 5%","ADF por regresion auxiliar en R base; p-value OLS reportado solo como referencia no Dickey-Fuller."
"gdp_arg","PIB real Argentina","d_ln_gdp_real","log_difference","drift",75,4,-4.03614166092531,0.000147620189494492,-2.89,"raiz unitaria","rechaza raiz unitaria al 5%","ADF por regresion auxiliar en R base; p-value OLS reportado solo como referencia no Dickey-Fuller."
"itcrm","Tipo de cambio real multilateral","ln_itcrm","log_level","trend",88,4,-1.77602059615546,0.0797321327743326,-3.45,"raiz unitaria","no rechaza raiz unitaria al 5%","ADF por regresion auxiliar en R base; p-value OLS reportado solo como referencia no Dickey-Fuller."
"itcrm","Tipo de cambio real multilateral","d_ln_itcrm","log_difference","drift",87,4,-5.30723903399325,0.00000106506231352323,-2.89,"raiz unitaria","rechaza raiz unitaria al 5%","ADF por regresion auxiliar en R base; p-value OLS reportado solo como referencia no Dickey-Fuller."
"pib_socios","PIB socios comerciales","ln_pib_socios","log_level","trend",88,4,-2.05789556256862,0.0430293121311951,-3.45,"raiz unitaria","no rechaza raiz unitaria al 5%","ADF por regresion auxiliar en R base; p-value OLS reportado solo como referencia no Dickey-Fuller."
"pib_socios","PIB socios comerciales","d_ln_pib_socios","log_difference","drift",87,4,-4.17805146044331,0.0000777431761495739,-2.89,"raiz unitaria","rechaza raiz unitaria al 5%","ADF por regresion auxiliar en R base; p-value OLS reportado solo como referencia no Dickey-Fuller."
"commodities","Indice de precios de commodities","ln_commodity_price_index","log_level","trend",88,4,-2.84229753412843,0.00574831293792773,-3.45,"raiz unitaria","no rechaza raiz unitaria al 5%","ADF por regresion auxiliar en R base; p-value OLS reportado solo como referencia no Dickey-Fuller."
"commodities","Indice de precios de commodities","d_ln_commodity_price_index","log_difference","drift",87,4,-4.08276725413427,0.000109022587976849,-2.89,"raiz unitaria","rechaza raiz unitaria al 5%","ADF por regresion auxiliar en R base; p-value OLS reportado solo como referencia no Dickey-Fuller."
