"system","course_script","var_lag","var_type","diagnostic_type","lag","statistic","p_value","status","message"
"imports","vcorr_res.R",4,"const","PT.adjusted",1,19.681,"NA","ok","Diagnostico PT.adjusted ejecutado con script de clase."
"imports","vcorr_res.R",4,"const","PT.adjusted",2,23.313,"NA","ok","Diagnostico PT.adjusted ejecutado con script de clase."
"imports","vcorr_res.R",4,"const","PT.adjusted",3,24.2985,"NA","ok","Diagnostico PT.adjusted ejecutado con script de clase."
"imports","vcorr_res.R",4,"const","PT.adjusted",4,39.8143,"NA","ok","Diagnostico PT.adjusted ejecutado con script de clase."
"imports","vcorr_res.R",4,"const","PT.adjusted",5,49.7258,"0","ok","Diagnostico PT.adjusted ejecutado con script de clase."
"imports","vcorr_res.R",4,"const","PT.adjusted",6,60.1926,"0","ok","Diagnostico PT.adjusted ejecutado con script de clase."
"imports","vcorr_res.R",4,"const","PT.adjusted",7,70.3345,"0","ok","Diagnostico PT.adjusted ejecutado con script de clase."
"imports","vcorr_res.R",4,"const","PT.adjusted",8,85.1817,"0","ok","Diagnostico PT.adjusted ejecutado con script de clase."
"imports","vcorr_res.R",4,"const","PT.adjusted",9,94.6407,"0","ok","Diagnostico PT.adjusted ejecutado con script de clase."
"imports","vcorr_res.R",4,"const","PT.adjusted",10,99.2786,"0.0002","ok","Diagnostico PT.adjusted ejecutado con script de clase."
"imports","vcorr_res.R",4,"const","PT.adjusted",11,107.167,"0.0004","ok","Diagnostico PT.adjusted ejecutado con script de clase."
"imports","vcorr_res.R",4,"const","PT.adjusted",12,112.8783,"0.0015","ok","Diagnostico PT.adjusted ejecutado con script de clase."
"imports","vcorr_res.R",4,"const","BG",1,32.8857,"0.0001","ok","Diagnostico BG ejecutado con script de clase."
"imports","vcorr_res.R",4,"const","BG",2,38.6338,"0.0032","ok","Diagnostico BG ejecutado con script de clase."
"imports","vcorr_res.R",4,"const","BG",3,51.3476,"0.0032","ok","Diagnostico BG ejecutado con script de clase."
"imports","vcorr_res.R",4,"const","BG",4,71.9917,"0.0003","ok","Diagnostico BG ejecutado con script de clase."
"imports","vcorr_res.R",4,"const","BG",5,85.685,"0.0002","ok","Diagnostico BG ejecutado con script de clase."
"imports","vcorr_res.R",4,"const","BG",6,94.2742,"0.0006","ok","Diagnostico BG ejecutado con script de clase."
"imports","vcorr_res.R",4,"const","BG",7,111.355,"0.0002","ok","Diagnostico BG ejecutado con script de clase."
"imports","vcorr_res.R",4,"const","BG",8,119.6385,"0.0004","ok","Diagnostico BG ejecutado con script de clase."
"imports","vcorr_res.R",4,"const","BG",9,123.9,"0.0015","ok","Diagnostico BG ejecutado con script de clase."
"imports","vcorr_res.R",4,"const","BG",10,132.5964,"0.0024","ok","Diagnostico BG ejecutado con script de clase."
"imports","vcorr_res.R",4,"const","BG",11,144.1568,"0.0021","ok","Diagnostico BG ejecutado con script de clase."
"imports","vcorr_res.R",4,"const","BG",12,157.2739,"0.0014","ok","Diagnostico BG ejecutado con script de clase."
"exports","vcorr_res.R",4,"const","PT.adjusted",1,2.7787,"NA","ok","Diagnostico PT.adjusted ejecutado con script de clase."
"exports","vcorr_res.R",4,"const","PT.adjusted",2,3.9389,"NA","ok","Diagnostico PT.adjusted ejecutado con script de clase."
"exports","vcorr_res.R",4,"const","PT.adjusted",3,5.1242,"NA","ok","Diagnostico PT.adjusted ejecutado con script de clase."
"exports","vcorr_res.R",4,"const","PT.adjusted",4,11.1993,"NA","ok","Diagnostico PT.adjusted ejecutado con script de clase."
"exports","vcorr_res.R",4,"const","PT.adjusted",5,18.9398,"0.0257","ok","Diagnostico PT.adjusted ejecutado con script de clase."
"exports","vcorr_res.R",4,"const","PT.adjusted",6,30.3301,"0.0344","ok","Diagnostico PT.adjusted ejecutado con script de clase."
"exports","vcorr_res.R",4,"const","PT.adjusted",7,45.031,"0.0161","ok","Diagnostico PT.adjusted ejecutado con script de clase."
"exports","vcorr_res.R",4,"const","PT.adjusted",8,50.5645,"0.0543","ok","Diagnostico PT.adjusted ejecutado con script de clase."
"exports","vcorr_res.R",4,"const","PT.adjusted",9,61.4939,"0.0515","ok","Diagnostico PT.adjusted ejecutado con script de clase."
"exports","vcorr_res.R",4,"const","PT.adjusted",10,71.8864,"0.0522","ok","Diagnostico PT.adjusted ejecutado con script de clase."
"exports","vcorr_res.R",4,"const","PT.adjusted",11,77.7762,"0.0996","ok","Diagnostico PT.adjusted ejecutado con script de clase."
"exports","vcorr_res.R",4,"const","PT.adjusted",12,88.8629,"0.0864","ok","Diagnostico PT.adjusted ejecutado con script de clase."
"exports","vcorr_res.R",4,"const","BG",1,16.5934,"0.0555","ok","Diagnostico BG ejecutado con script de clase."
"exports","vcorr_res.R",4,"const","BG",2,31.0944,"0.0281","ok","Diagnostico BG ejecutado con script de clase."
"exports","vcorr_res.R",4,"const","BG",3,39.1142,"0.0619","ok","Diagnostico BG ejecutado con script de clase."
"exports","vcorr_res.R",4,"const","BG",4,47.6759,"0.0922","ok","Diagnostico BG ejecutado con script de clase."
"exports","vcorr_res.R",4,"const","BG",5,51.3082,"0.2402","ok","Diagnostico BG ejecutado con script de clase."
"exports","vcorr_res.R",4,"const","BG",6,60.2135,"0.2611","ok","Diagnostico BG ejecutado con script de clase."
"exports","vcorr_res.R",4,"const","BG",7,73.5063,"0.1718","ok","Diagnostico BG ejecutado con script de clase."
"exports","vcorr_res.R",4,"const","BG",8,87.1537,"0.1078","ok","Diagnostico BG ejecutado con script de clase."
"exports","vcorr_res.R",4,"const","BG",9,94.2759,"0.1485","ok","Diagnostico BG ejecutado con script de clase."
"exports","vcorr_res.R",4,"const","BG",10,113.2663,"0.0492","ok","Diagnostico BG ejecutado con script de clase."
"exports","vcorr_res.R",4,"const","BG",11,121.537,"0.0617","ok","Diagnostico BG ejecutado con script de clase."
"exports","vcorr_res.R",4,"const","BG",12,128.6931,"0.0851","ok","Diagnostico BG ejecutado con script de clase."
