"system","model_key","response","shock","horizon","share","status","message"
"exports","exports_var_diff_class_fevd","d_ln_exports_real","d_ln_exports_real",1,1,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_exports_real","d_ln_exports_real",2,0.975187691838006,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_exports_real","d_ln_exports_real",3,0.918046577515987,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_exports_real","d_ln_exports_real",4,0.8559445681872,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_exports_real","d_ln_exports_real",5,0.833505551453647,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_exports_real","d_ln_exports_real",6,0.840424649663389,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_exports_real","d_ln_exports_real",7,0.829802704942336,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_exports_real","d_ln_exports_real",8,0.806801302697391,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_exports_real","d_ln_exports_real",9,0.802906508512692,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_exports_real","d_ln_exports_real",10,0.807816353905046,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_exports_real","d_ln_exports_real",11,0.80244086678876,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_exports_real","d_ln_exports_real",12,0.792727123135707,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_exports_real","d_ln_pib_socios",1,0,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_exports_real","d_ln_pib_socios",2,0.0247474032255855,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_exports_real","d_ln_pib_socios",3,0.0818879266099067,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
