"system","base_selected_lag","candidate_lag","diagnostic_lag","pt_adjusted_p_value","bg_p_value","passes_serial_diagnostic_5pct","status","note"
"imports",4,4,12,0.00149146683262191,0.00139367418754377,FALSE,"ok","Candidato mantiene evidencia de autocorrelacion residual."
"imports",4,5,12,0.000322651213145231,0.00134063245246852,FALSE,"ok","Candidato mantiene evidencia de autocorrelacion residual."
"imports",4,6,12,0.000397405997324962,0.000713279694447677,FALSE,"ok","Candidato mantiene evidencia de autocorrelacion residual."
"imports",4,7,12,0.00011310317138169,0.00026312829186681,FALSE,"ok","Candidato mantiene evidencia de autocorrelacion residual."
"imports",4,8,12,0.00000623917955699937,0.00000604602263820642,FALSE,"ok","Candidato mantiene evidencia de autocorrelacion residual."
"exports",1,1,12,0.00212709364804908,0.0815651345757979,FALSE,"ok","Candidato mantiene evidencia de autocorrelacion residual."
"exports",1,2,12,0.000160062118215065,0.0680003786405345,FALSE,"ok","Candidato mantiene evidencia de autocorrelacion residual."
"exports",1,3,12,0.00000969236010139873,0.0930145801170258,FALSE,"ok","Candidato mantiene evidencia de autocorrelacion residual."
"exports",1,4,12,0.0864357144351274,0.0850880593443983,TRUE,"ok","Candidato sin autocorrelacion residual al 5%."
"exports",1,5,12,0.0624082178539968,0.0691780651206427,TRUE,"ok","Candidato sin autocorrelacion residual al 5%."
"exports",1,6,12,0.0336042380563794,0.00312742151605294,FALSE,"ok","Candidato mantiene evidencia de autocorrelacion residual."
"exports",1,7,12,0.00410521492303773,0.000419539072777808,FALSE,"ok","Candidato mantiene evidencia de autocorrelacion residual."
"exports",1,8,12,0.00113084065292746,0.000057448699870899,FALSE,"ok","Candidato mantiene evidencia de autocorrelacion residual."
