"system","course_script","var_lag","var_type","diagnostic_type","lag","statistic","p_value","status","message"
"imports","vcorr_res.R",4,"const","PT.adjusted",1,19.681,"NA","ok","Diagnostico PT.adjusted ejecutado con script de clase."
"imports","vcorr_res.R",4,"const","PT.adjusted",2,23.313,"NA","ok","Diagnostico PT.adjusted ejecutado con script de clase."
"imports","vcorr_res.R",4,"const","PT.adjusted",3,24.2985,"NA","ok","Diagnostico PT.adjusted ejecutado con script de clase."
"imports","vcorr_res.R",4,"const","PT.adjusted",4,39.8143,"NA","ok","Diagnostico PT.adjusted ejecutado con script de clase."
"imports","vcorr_res.R",4,"const","PT.adjusted",5,49.7258,"0","ok","Diagnostico PT.adjusted ejecutado con script de clase."
"imports","vcorr_res.R",4,"const","PT.adjusted",6,60.1926,"0","ok","Diagnostico PT.adjusted ejecutado con script de clase."
"imports","vcorr_res.R",4,"const","PT.adjusted",7,70.3345,"0","ok","Diagnostico PT.adjusted ejecutado con script de clase."
"imports","vcorr_res.R",4,"const","PT.adjusted",8,85.1817,"0","ok","Diagnostico PT.adjusted ejecutado con script de clase."
"imports","vcorr_res.R",4,"const","PT.adjusted",9,94.6407,"0","ok","Diagnostico PT.adjusted ejecutado con script de clase."
"imports","vcorr_res.R",4,"const","PT.adjusted",10,99.2786,"0.0002","ok","Diagnostico PT.adjusted ejecutado con script de clase."
"imports","vcorr_res.R",4,"const","PT.adjusted",11,107.167,"0.0004","ok","Diagnostico PT.adjusted ejecutado con script de clase."
"imports","vcorr_res.R",4,"const","PT.adjusted",12,112.8783,"0.0015","ok","Diagnostico PT.adjusted ejecutado con script de clase."
"imports","vcorr_res.R",4,"const","BG",1,32.8857,"0.0001","ok","Diagnostico BG ejecutado con script de clase."
"imports","vcorr_res.R",4,"const","BG",2,38.6338,"0.0032","ok","Diagnostico BG ejecutado con script de clase."
"imports","vcorr_res.R",4,"const","BG",3,51.3476,"0.0032","ok","Diagnostico BG ejecutado con script de clase."
"imports","vcorr_res.R",4,"const","BG",4,71.9917,"0.0003","ok","Diagnostico BG ejecutado con script de clase."
"imports","vcorr_res.R",4,"const","BG",5,85.685,"0.0002","ok","Diagnostico BG ejecutado con script de clase."
"imports","vcorr_res.R",4,"const","BG",6,94.2742,"0.0006","ok","Diagnostico BG ejecutado con script de clase."
"imports","vcorr_res.R",4,"const","BG",7,111.355,"0.0002","ok","Diagnostico BG ejecutado con script de clase."
"imports","vcorr_res.R",4,"const","BG",8,119.6385,"0.0004","ok","Diagnostico BG ejecutado con script de clase."
"imports","vcorr_res.R",4,"const","BG",9,123.9,"0.0015","ok","Diagnostico BG ejecutado con script de clase."
"imports","vcorr_res.R",4,"const","BG",10,132.5964,"0.0024","ok","Diagnostico BG ejecutado con script de clase."
"imports","vcorr_res.R",4,"const","BG",11,144.1568,"0.0021","ok","Diagnostico BG ejecutado con script de clase."
"imports","vcorr_res.R",4,"const","BG",12,157.2739,"0.0014","ok","Diagnostico BG ejecutado con script de clase."
"exports","vcorr_res.R",1,"const","PT.adjusted",1,4.9807,"NA","ok","Diagnostico PT.adjusted ejecutado con script de clase."
"exports","vcorr_res.R",1,"const","PT.adjusted",2,16.3421,"0.0601","ok","Diagnostico PT.adjusted ejecutado con script de clase."
"exports","vcorr_res.R",1,"const","PT.adjusted",3,27.3659,"0.0724","ok","Diagnostico PT.adjusted ejecutado con script de clase."
"exports","vcorr_res.R",1,"const","PT.adjusted",4,52.4224,"0.0024","ok","Diagnostico PT.adjusted ejecutado con script de clase."
"exports","vcorr_res.R",1,"const","PT.adjusted",5,59.0842,"0.009","ok","Diagnostico PT.adjusted ejecutado con script de clase."
"exports","vcorr_res.R",1,"const","PT.adjusted",6,71.7701,"0.0068","ok","Diagnostico PT.adjusted ejecutado con script de clase."
"exports","vcorr_res.R",1,"const","PT.adjusted",7,79.9196,"0.0125","ok","Diagnostico PT.adjusted ejecutado con script de clase."
"exports","vcorr_res.R",1,"const","PT.adjusted",8,98.7694,"0.0027","ok","Diagnostico PT.adjusted ejecutado con script de clase."
"exports","vcorr_res.R",1,"const","PT.adjusted",9,105.0611,"0.0067","ok","Diagnostico PT.adjusted ejecutado con script de clase."
"exports","vcorr_res.R",1,"const","PT.adjusted",10,118.3729,"0.0043","ok","Diagnostico PT.adjusted ejecutado con script de clase."
"exports","vcorr_res.R",1,"const","PT.adjusted",11,125.088,"0.0085","ok","Diagnostico PT.adjusted ejecutado con script de clase."
"exports","vcorr_res.R",1,"const","PT.adjusted",12,144.0217,"0.0021","ok","Diagnostico PT.adjusted ejecutado con script de clase."
"exports","vcorr_res.R",1,"const","BG",1,11.4156,"0.2483","ok","Diagnostico BG ejecutado con script de clase."
"exports","vcorr_res.R",1,"const","BG",2,20.9313,"0.2829","ok","Diagnostico BG ejecutado con script de clase."
"exports","vcorr_res.R",1,"const","BG",3,29.6075,"0.3321","ok","Diagnostico BG ejecutado con script de clase."
"exports","vcorr_res.R",1,"const","BG",4,56.5508,"0.0159","ok","Diagnostico BG ejecutado con script de clase."
"exports","vcorr_res.R",1,"const","BG",5,63.8548,"0.0336","ok","Diagnostico BG ejecutado con script de clase."
"exports","vcorr_res.R",1,"const","BG",6,74.3437,"0.0346","ok","Diagnostico BG ejecutado con script de clase."
"exports","vcorr_res.R",1,"const","BG",7,82.947,"0.0469","ok","Diagnostico BG ejecutado con script de clase."
"exports","vcorr_res.R",1,"const","BG",8,89.5528,"0.0788","ok","Diagnostico BG ejecutado con script de clase."
"exports","vcorr_res.R",1,"const","BG",9,97.4064,"0.1034","ok","Diagnostico BG ejecutado con script de clase."
"exports","vcorr_res.R",1,"const","BG",10,109.1075,"0.0833","ok","Diagnostico BG ejecutado con script de clase."
"exports","vcorr_res.R",1,"const","BG",11,119.6458,"0.0774","ok","Diagnostico BG ejecutado con script de clase."
"exports","vcorr_res.R",1,"const","BG",12,129.0729,"0.0816","ok","Diagnostico BG ejecutado con script de clase."
