"system","test_type","null_hypothesis","null_rank","statistic","critical_10pct","critical_5pct","critical_1pct","reject_5pct","ecdet","spec","lag_k","season"
"imports","trace","r <= 2 |",2,7.59788263182503,7.52,9.24,12.97,FALSE,"const","transitory",4,4
"imports","trace","r <= 1 |",1,16.5122211559781,17.85,19.96,24.6,FALSE,"const","transitory",4,4
"imports","trace","r = 0  |",0,35.4494017975406,32,34.91,41.07,TRUE,"const","transitory",4,4
"exports","trace","r <= 2 |",2,5.84647915192666,7.52,9.24,12.97,FALSE,"const","transitory",4,4
"exports","trace","r <= 1 |",1,17.2238182453124,17.85,19.96,24.6,FALSE,"const","transitory",4,4
"exports","trace","r = 0  |",0,33.9173000193602,32,34.91,41.07,FALSE,"const","transitory",4,4
"imports","trace","r <= 2 |",2,6.09828000205164,6.5,8.18,11.65,FALSE,"none","transitory",4,4
"imports","trace","r <= 1 |",1,14.4931082603794,15.66,17.95,23.52,FALSE,"none","transitory",4,4
"imports","trace","r = 0  |",0,32.0322901972666,28.71,31.52,37.22,TRUE,"none","transitory",4,4
"exports","trace","r <= 2 |",2,3.38695723171288,6.5,8.18,11.65,FALSE,"none","transitory",4,4
"exports","trace","r <= 1 |",1,11.2909399514855,15.66,17.95,23.52,FALSE,"none","transitory",4,4
"exports","trace","r = 0  |",0,24.5285521681665,28.71,31.52,37.22,FALSE,"none","transitory",4,4
