"series_key","series_label","variable","transformation","course_script","mod","sel_lags","selected_lag","max_lag","tau_statistic","output_text","status","message"
"imports","Importaciones reales","ln_imports_real","log_level","Test.ADF_Ver.3.R",3,"BIC",0,11,-2.375,"[1] ""Método BIC , lags =  0"" | [1] ""Cantidad máxima de lags:  11"" | [1] ""Estadístico Tau:  -2.375"" | [1] ""Valores críticos"" |  1pct  5pct 10pct  | -4.04 -3.45 -3.15 ","ok","ADF ejecutado con script de clase."
"imports","Importaciones reales","d_ln_imports_real","log_difference","Test.ADF_Ver.3.R",2,"BIC",0,11,-7.239,"[1] ""Método BIC , lags =  0"" | [1] ""Cantidad máxima de lags:  11"" | [1] ""Estadístico Tau:  -7.239"" | [1] ""Valores críticos"" |  1pct  5pct 10pct  | -3.51 -2.89 -2.58 ","ok","ADF ejecutado con script de clase."
"exports","Exportaciones reales","ln_exports_real","log_level","Test.ADF_Ver.3.R",3,"BIC",4,11,-3.53,"[1] ""Método BIC , lags =  4"" | [1] ""Cantidad máxima de lags:  11"" | [1] ""Estadístico Tau:  -3.53"" | [1] ""Valores críticos"" |  1pct  5pct 10pct  | -4.04 -3.45 -3.15 ","ok","ADF ejecutado con script de clase."
"exports","Exportaciones reales","d_ln_exports_real","log_difference","Test.ADF_Ver.3.R",2,"BIC",3,11,-4.649,"[1] ""Método BIC , lags =  3"" | [1] ""Cantidad máxima de lags:  11"" | [1] ""Estadístico Tau:  -4.649"" | [1] ""Valores críticos"" |  1pct  5pct 10pct  | -3.51 -2.89 -2.58 ","ok","ADF ejecutado con script de clase."
"gdp_arg","PIB real Argentina","ln_gdp_real","log_level","Test.ADF_Ver.3.R",3,"BIC",4,11,-2.923,"[1] ""Método BIC , lags =  4"" | [1] ""Cantidad máxima de lags:  11"" | [1] ""Estadístico Tau:  -2.923"" | [1] ""Valores críticos"" |  1pct  5pct 10pct  | -4.04 -3.45 -3.15 ","ok","ADF ejecutado con script de clase."
"gdp_arg","PIB real Argentina","d_ln_gdp_real","log_difference","Test.ADF_Ver.3.R",2,"BIC",7,11,-2.453,"[1] ""Método BIC , lags =  7"" | [1] ""Cantidad máxima de lags:  11"" | [1] ""Estadístico Tau:  -2.453"" | [1] ""Valores críticos"" |  1pct  5pct 10pct  | -3.51 -2.89 -2.58 ","ok","ADF ejecutado con script de clase."
"itcrm","Tipo de cambio real multilateral","ln_itcrm","log_level","Test.ADF_Ver.3.R",3,"BIC",0,11,-2.024,"[1] ""Método BIC , lags =  0"" | [1] ""Cantidad máxima de lags:  11"" | [1] ""Estadístico Tau:  -2.024"" | [1] ""Valores críticos"" |  1pct  5pct 10pct  | -4.04 -3.45 -3.15 ","ok","ADF ejecutado con script de clase."
"itcrm","Tipo de cambio real multilateral","d_ln_itcrm","log_difference","Test.ADF_Ver.3.R",2,"BIC",0,11,-8.582,"[1] ""Método BIC , lags =  0"" | [1] ""Cantidad máxima de lags:  11"" | [1] ""Estadístico Tau:  -8.582"" | [1] ""Valores críticos"" |  1pct  5pct 10pct  | -3.51 -2.89 -2.58 ","ok","ADF ejecutado con script de clase."
"pib_socios","PIB socios comerciales","ln_pib_socios","log_level","Test.ADF_Ver.3.R",3,"BIC",0,11,-2.609,"[1] ""Método BIC , lags =  0"" | [1] ""Cantidad máxima de lags:  11"" | [1] ""Estadístico Tau:  -2.609"" | [1] ""Valores críticos"" |  1pct  5pct 10pct  | -4.04 -3.45 -3.15 ","ok","ADF ejecutado con script de clase."
"pib_socios","PIB socios comerciales","d_ln_pib_socios","log_difference","Test.ADF_Ver.3.R",2,"BIC",0,11,-9.405,"[1] ""Método BIC , lags =  0"" | [1] ""Cantidad máxima de lags:  11"" | [1] ""Estadístico Tau:  -9.405"" | [1] ""Valores críticos"" |  1pct  5pct 10pct  | -3.51 -2.89 -2.58 ","ok","ADF ejecutado con script de clase."
"commodities","Indice de precios de commodities","ln_commodity_price_index","log_level","Test.ADF_Ver.3.R",3,"BIC",1,11,-3.251,"[1] ""Método BIC , lags =  1"" | [1] ""Cantidad máxima de lags:  11"" | [1] ""Estadístico Tau:  -3.251"" | [1] ""Valores críticos"" |  1pct  5pct 10pct  | -4.04 -3.45 -3.15 ","ok","ADF ejecutado con script de clase."
"commodities","Indice de precios de commodities","d_ln_commodity_price_index","log_difference","Test.ADF_Ver.3.R",2,"BIC",0,11,-6.356,"[1] ""Método BIC , lags =  0"" | [1] ""Cantidad máxima de lags:  11"" | [1] ""Estadístico Tau:  -6.356"" | [1] ""Valores críticos"" |  1pct  5pct 10pct  | -3.51 -2.89 -2.58 ","ok","ADF ejecutado con script de clase."
