"system","criterion","lag","value","error"
"imports","AIC",1,-16.9567586962403,NA
"imports","AIC",2,-17.0893837507558,NA
"imports","AIC",3,-17.0696488933165,NA
"imports","AIC",4,-17.9019952322968,NA
"imports","AIC",5,-18.184955441654,NA
"imports","AIC",6,-18.1239269406361,NA
"imports","AIC",7,-18.1590587442391,NA
"imports","AIC",8,-18.3467218707578,NA
"imports","HQ",1,-16.8015639443456,NA
"imports","HQ",2,-16.81779293494,NA
"imports","HQ",3,-16.6816620135797,NA
"imports","HQ",4,-17.397612288639,NA
"imports","HQ",5,-17.5641764340751,NA
"imports","HQ",6,-17.3867518691362,NA
"imports","HQ",7,-17.3054876088182,NA
"imports","HQ",8,-17.3767546714159,NA
"imports","SC",1,-16.5650808659151,NA
"imports","SC",2,-16.4039475476867,NA
"imports","SC",3,-16.0904543175035,NA
"imports","SC",4,-16.6290422837399,NA
"imports","SC",5,-16.6182441203532,NA
"imports","SC",6,-16.2634572465914,NA
"imports","SC",7,-16.0048306774505,NA
"imports","SC",8,-15.8987354312254,NA
"imports","FPE",1,0.0000000432464466319877,NA
"imports","FPE",2,0.0000000379427246052407,NA
"imports","FPE",3,0.0000000388637310085395,NA
"imports","FPE",4,0.0000000170399347035088,NA
"imports","FPE",5,0.0000000130041030929225,NA
"imports","FPE",6,0.0000000140853009768276,NA
"imports","FPE",7,0.0000000139647380783436,NA
"imports","FPE",8,0.0000000119994371632614,NA
"exports","AIC",1,-18.4741347002864,NA
"exports","AIC",2,-18.3733730520843,NA
"exports","AIC",3,-18.2405005345793,NA
"exports","AIC",4,-18.4520222549755,NA
"exports","AIC",5,-18.5667251773755,NA
"exports","AIC",6,-18.457053894271,NA
"exports","AIC",7,-18.3649257435534,NA
"exports","AIC",8,-18.2509887426229,NA
"exports","HQ",1,-18.3189399483917,NA
"exports","HQ",2,-18.1017822362685,NA
"exports","HQ",3,-17.8525136548425,NA
"exports","HQ",4,-17.9476393113177,NA
"exports","HQ",5,-17.9459461697966,NA
"exports","HQ",6,-17.7198788227711,NA
"exports","HQ",7,-17.5113546081325,NA
"exports","HQ",8,-17.2810215432809,NA
"exports","SC",1,-18.0824568699612,NA
"exports","SC",2,-17.6879368490152,NA
"exports","SC",3,-17.2613059587663,NA
"exports","SC",4,-17.1790693064187,NA
"exports","SC",5,-17.0000138560747,NA
"exports","SC",6,-16.5965842002263,NA
"exports","SC",7,-16.2106976767648,NA
"exports","SC",8,-15.8030023030904,NA
"exports","FPE",1,0.00000000948336363504375,NA
"exports","FPE",2,0.0000000105074914493203,NA
"exports","FPE",3,0.0000000120517491806293,NA
"exports","FPE",4,0.00000000983092143466394,NA
"exports","FPE",5,0.00000000887727991742222,NA
"exports","FPE",6,0.0000000100946422830193,NA
"exports","FPE",7,0.0000000113664773985444,NA
"exports","FPE",8,0.0000000132049647164499,NA
