paso,script,advertencias,frecuencia
1,script01_load_data.R,package ‘forcats’ was built under R version 4.3.2,1
1,script01_load_data.R,package ‘janitor’ was built under R version 4.3.3,1
1,script01_load_data.R,package ‘lubridate’ was built under R version 4.3.2,1
1,script01_load_data.R,package ‘readr’ was built under R version 4.3.2,1
1,script01_load_data.R,package ‘readxl’ was built under R version 4.3.2,1
1,script01_load_data.R,package ‘tidyverse’ was built under R version 4.3.2,1
2,script02_daily_itcrm.R,Expecting date in A10730 / R10730C1: got 'Nota: Datos provisorios sujetos a revisión.',1
2,script02_daily_itcrm.R,"Expecting date in A10731 / R10731C1: got 'Fuente: INDEC, Direcciones de Estadísticas de la Ciudad Autónoma de Buenos Aires y de la Provincia de San Luis, Datastream y REM BCRA'",1
2,script02_daily_itcrm.R,"Expecting date in A10732 / R10732C1: got '*Promedio simple de valores de Brasil, Chile y Uruguay'",1
2,script02_daily_itcrm.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""anio""` instead of `.data$anio` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
2,script02_daily_itcrm.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""fecha""` instead of `.data$fecha` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
2,script02_daily_itcrm.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""fecha_final""` instead of `.data$fecha_final` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
2,script02_daily_itcrm.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""fecha_inicial""` instead of `.data$fecha_inicial` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
2,script02_daily_itcrm.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""itcrm""` instead of `.data$itcrm` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
2,script02_daily_itcrm.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""ln_itcrm""` instead of `.data$ln_itcrm` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
2,script02_daily_itcrm.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""observaciones_diarias""` instead of `.data$observaciones_diarias` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
2,script02_daily_itcrm.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""periodo""` instead of `.data$periodo` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
2,script02_daily_itcrm.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""periodo_calculo""` instead of `.data$periodo_calculo` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
2,script02_daily_itcrm.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""periodo_label""` instead of `.data$periodo_label` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
2,script02_daily_itcrm.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""ponderador_brasil_normalizado""` instead of `.data$ponderador_brasil_normalizado` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
2,script02_daily_itcrm.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""ponderador_brasil_original""` instead of `.data$ponderador_brasil_original` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
2,script02_daily_itcrm.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""ponderador_usa_normalizado""` instead of `.data$ponderador_usa_normalizado` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
2,script02_daily_itcrm.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""ponderador_usa_original""` instead of `.data$ponderador_usa_original` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
2,script02_daily_itcrm.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""trimestre""` instead of `.data$trimestre` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
8,script08_unit_roots.R,package ‘dynlm’ was built under R version 4.3.3,1
8,script08_unit_roots.R,package ‘urca’ was built under R version 4.3.3,1
9,script09_engle_granger.R,package ‘sandwich’ was built under R version 4.3.2,1
