"archivo","ruta_relativa","existe","tamanio_kb","valida"
"13_resultados_finales_tp3.xlsx","outputs/tables/13_resultados_finales_tp3.xlsx",TRUE,35.281,TRUE
"13_decision_final_modelos.csv","outputs/tables/13_decision_final_modelos.csv",TRUE,3.106,TRUE
"13_elasticidades_largo_plazo.csv","outputs/tables/13_elasticidades_largo_plazo.csv",TRUE,6.003,TRUE
"13_comparacion_elasticidades_metodos.csv","outputs/tables/13_comparacion_elasticidades_metodos.csv",TRUE,1.158,TRUE
"13_ajustes_ecm_vecm.csv","outputs/tables/13_ajustes_ecm_vecm.csv",TRUE,2.856,TRUE
"13_irf_principales.csv","outputs/tables/13_irf_principales.csv",TRUE,1.718,TRUE
"13_fevd_h12.csv","outputs/tables/13_fevd_h12.csv",TRUE,1.464,TRUE
"13_estimaciones_preferidas.csv","outputs/tables/13_estimaciones_preferidas.csv",TRUE,2.996,TRUE
"13_catalogo_salidas.csv","outputs/tables/13_catalogo_salidas.csv",TRUE,3.313,TRUE
"ajuste_ecm_correcto.rds","outputs/models/ajuste_ecm_correcto.rds",TRUE,0.672,TRUE
"resultados_finales_tp3.rds","outputs/models/resultados_finales_tp3.rds",TRUE,7.987,TRUE
"estimaciones_preferidas_tp3.rds","outputs/models/estimaciones_preferidas_tp3.rds",TRUE,1.04,TRUE
"decision_final_modelos_tp3.rds","outputs/models/decision_final_modelos_tp3.rds",TRUE,1.387,TRUE
"ajustes_ecm_vecm_final.rds","outputs/models/ajustes_ecm_vecm_final.rds",TRUE,1.199,TRUE
"13_resumen_resultados_finales.txt","outputs/models/13_resumen_resultados_finales.txt",TRUE,23.072,TRUE
"13_elasticidades_largo_plazo.png","figures/13_elasticidades_largo_plazo.png",TRUE,247.298,TRUE
"13_coeficientes_ajuste.png","figures/13_coeficientes_ajuste.png",TRUE,88.267,TRUE
"13_irf_horizontes_seleccionados.png","figures/13_irf_horizontes_seleccionados.png",TRUE,171.632,TRUE
"13_fevd_h12.png","figures/13_fevd_h12.png",TRUE,110.299,TRUE
