model_key,variable,cointegration_10pct,ecm_status,model_id,method_code,method,estimate,p_value,specification,is_primary,rank_trace_10pct,validity,model_label,variable_label,expected_sign,observed_sign,sign_consistent
exports_classic,ln_itcrm,FALSE,ECM se estima sólo con fines indicativos,exports_classic__engle_granger,engle_granger,Engle-Granger,0.1449305406865488,0.13214873883945047,Principal,TRUE,NA,Resultado Engle-Granger; elasticidad reportada con interpretación indicativa.,Exportaciones clásicas,ITCRM,Positivo,Positivo,TRUE
exports_classic,ln_itcrm,TRUE,VECM estimado con rango 1.,exports_classic__primary_K2,johansen,Johansen,0.5381929706191956,NA,Principal,TRUE,1,Johansen indicativo por rechazo de normalidad multivariada,Exportaciones clásicas,ITCRM,Positivo,Positivo,TRUE
exports_classic,ln_itcrm,FALSE,ECM se estima sólo con fines indicativos,exports_classic__wickens_breusch,wickens_breusch,Wickens-Breusch,0.3170081629343172,0.012395500639735676,Principal,TRUE,NA,Resultado de la reparametrización Wickens-Breusch.,Exportaciones clásicas,ITCRM,Positivo,Positivo,TRUE
exports_classic,ln_pib_socios,FALSE,ECM se estima sólo con fines indicativos,exports_classic__engle_granger,engle_granger,Engle-Granger,0.7053252619207601,0.0033189167573690207,Principal,TRUE,NA,Resultado Engle-Granger; elasticidad reportada con interpretación indicativa.,Exportaciones clásicas,PIB de socios,Positivo,Positivo,TRUE
exports_classic,ln_pib_socios,TRUE,VECM estimado con rango 1.,exports_classic__primary_K2,johansen,Johansen,1.1748253883683402,NA,Principal,TRUE,1,Johansen indicativo por rechazo de normalidad multivariada,Exportaciones clásicas,PIB de socios,Positivo,Positivo,TRUE
exports_classic,ln_pib_socios,FALSE,ECM se estima sólo con fines indicativos,exports_classic__wickens_breusch,wickens_breusch,Wickens-Breusch,0.9219990003826722,0.002200726052564485,Principal,TRUE,NA,Resultado de la reparametrización Wickens-Breusch.,Exportaciones clásicas,PIB de socios,Positivo,Positivo,TRUE
exports_expanded,ln_itcrm,FALSE,Especificación ampliada de robustez; interpretación indicativa,exports_expanded__engle_granger,engle_granger,Engle-Granger,0.06656370938515815,0.5284224028306721,Principal,TRUE,NA,Resultado Engle-Granger; elasticidad reportada con interpretación indicativa.,Exportaciones ampliadas,ITCRM,Positivo,Positivo,TRUE
exports_expanded,ln_itcrm,TRUE,VECM estimado con rango 1.,exports_expanded__primary_K2,johansen,Johansen,0.22080723224992224,NA,Principal,TRUE,1,Robustez indicativa con variable exógena I(0),Exportaciones ampliadas,ITCRM,Positivo,Positivo,TRUE
exports_expanded,ln_itcrm,TRUE,VECM estimado con rango 1.,exports_expanded__sensitivity_K4,johansen,Johansen,0.3247884723892205,NA,Sensibilidad K=4,FALSE,1,Robustez indicativa con variable exógena I(0); sensibilidad con K=4,Exportaciones ampliadas,ITCRM,Positivo,Positivo,TRUE
exports_expanded,ln_itcrm,FALSE,Especificación ampliada de robustez; interpretación indicativa,exports_expanded__wickens_breusch,wickens_breusch,Wickens-Breusch,0.2344246989447559,0.12520209826269696,Principal,TRUE,NA,Resultado de la reparametrización Wickens-Breusch.,Exportaciones ampliadas,ITCRM,Positivo,Positivo,TRUE
exports_expanded,ln_pib_socios,FALSE,Especificación ampliada de robustez; interpretación indicativa,exports_expanded__engle_granger,engle_granger,Engle-Granger,0.4520913223322009,0.10681440118006215,Principal,TRUE,NA,Resultado Engle-Granger; elasticidad reportada con interpretación indicativa.,Exportaciones ampliadas,PIB de socios,Positivo,Positivo,TRUE
exports_expanded,ln_pib_socios,TRUE,VECM estimado con rango 1.,exports_expanded__primary_K2,johansen,Johansen,0.4244101833676962,NA,Principal,TRUE,1,Robustez indicativa con variable exógena I(0),Exportaciones ampliadas,PIB de socios,Positivo,Positivo,TRUE
exports_expanded,ln_pib_socios,TRUE,VECM estimado con rango 1.,exports_expanded__sensitivity_K4,johansen,Johansen,0.26401768225814065,NA,Sensibilidad K=4,FALSE,1,Robustez indicativa con variable exógena I(0); sensibilidad con K=4,Exportaciones ampliadas,PIB de socios,Positivo,Positivo,TRUE
exports_expanded,ln_pib_socios,FALSE,Especificación ampliada de robustez; interpretación indicativa,exports_expanded__wickens_breusch,wickens_breusch,Wickens-Breusch,0.7139485566739594,0.05499659183474467,Principal,TRUE,NA,Resultado de la reparametrización Wickens-Breusch.,Exportaciones ampliadas,PIB de socios,Positivo,Positivo,TRUE
imports,ln_itcrm,FALSE,ECM se estima sólo con fines indicativos,imports__engle_granger,engle_granger,Engle-Granger,-0.40728103020781725,9.21672752044433e-6,Principal,TRUE,NA,Resultado Engle-Granger; elasticidad reportada con interpretación indicativa.,Importaciones,ITCRM,Negativo,Negativo,TRUE
