"step","class_workflow","teacher_reference","script_block","evidence_output"
1,"Cargar paquetes de la cursada con library()","scripts clase_01 a clase_11","1A. Paquetes utilizados durante la cursada","00_setup/section_00_course_packages_status.csv"
2,"Cargar datos y convertir a objetos ts","scripts VAR/VEC y ADF","2. Carga de datos y muestra de trabajo","01_data_descriptives/section_01_model_sample.csv"
3,"Graficar niveles y diferencias","scripts ADF, VAR y VEC","4. Analisis descriptivo","figures/figure_01*_log_levels.png y figures/figure_02*_log_differences.png"
4,"Evaluar raices unitarias con ADF de clase","Test.ADF.Ver.3.R","5B. ADF con script de clase","02_unit_roots/section_02_course_adf_ver3_results.csv"
5,"Estimar Engle-Granger y ECM","clase_05_cointegracion_ecm","6. Engle-Granger y ECM","05_engle_granger_ecm/section_05_*"
6,"Contrastar Wickens-Breusch","clase_05_cointegracion_ecm","6A. Wickens-Breusch","09_wickens_breusch/section_09_wickens_breusch_long_run_coefficients.csv"
7,"Seleccionar rezagos con VARselect y estimar VAR","clase_07_var","7. Seleccion de rezagos VAR","03_var_lags/section_03_var_lag_selection.csv"
8,"Aplicar diagnosticos VAR de clase","clase_07_var, clase_10_vec y scripts requeridos","8B/8C y Wald de exclusion","03_var_lags/section_03_var_lag_exclusion_wald.csv y 04_johansen_diagnostics/section_04_course_*"
9,"Estimar Johansen con ca.jo","clase_10_vec","8. Cointegracion de Johansen","04_johansen_diagnostics/section_04_johansen_*"
10,"Recuperar VEC con cajorls","clase_10_vec","8D. Decisiones VECM/VAR","06_vecm_decisions/section_06_vecm_*"
11,"Usar VAR en diferencias si no hay cointegracion","clase_07_var y consigna TP3","9. VAR en diferencias","07_var_differences/section_07_var_diff_*"
12,"Agregar extensiones IRF, FEVD, SVAR y LPIRF","clase_08_var_irf, clase_09_var_svar y clase_11_local_projections","10. Extensiones de clase","10_class_extensions/section_10_class_*"
