"variable","variable_label","transformation","analysis_use","first_quarter","last_quarter","n_non_missing","uses_full_2004_2025_window","limiting_note"
"ln_imports_real","Importaciones reales","log_level","Sistema de importaciones; Engle-Granger; VAR/VEC","2004Q1","2022Q4",76,FALSE,"La muestra efectiva queda acotada por datos faltantes dentro de la ventana base."
"ln_exports_real","Exportaciones reales","log_level","Sistema de exportaciones; Engle-Granger; VAR/VEC","2004Q1","2022Q4",76,FALSE,"La muestra efectiva queda acotada por datos faltantes dentro de la ventana base."
"ln_gdp_real","PIB real Argentina","log_level","Ingreso domestico para importaciones","2004Q1","2022Q4",76,FALSE,"La muestra efectiva queda acotada por datos faltantes dentro de la ventana base."
"ln_itcrm","Tipo de cambio real multilateral","log_level","Precio relativo en importaciones y exportaciones","2004Q1","2025Q4",88,TRUE,"Usa la cobertura completa 2004Q1-2025Q4."
"ln_pib_socios","PIB de socios comerciales","log_level","Demanda externa para exportaciones","2004Q1","2025Q4",88,TRUE,"Usa la cobertura completa 2004Q1-2025Q4."
"ln_commodity_price_index","Indice de precios de commodities","log_level","Control externo y futura especificacion ampliada de exportaciones","2004Q1","2025Q4",88,TRUE,"Usa la cobertura completa 2004Q1-2025Q4."
"d_ln_imports_real","Importaciones reales","log_difference","Dinamica de corto plazo de importaciones","2004Q2","2022Q4",75,FALSE,"La muestra efectiva queda acotada por datos faltantes dentro de la ventana base."
"d_ln_exports_real","Exportaciones reales","log_difference","Dinamica de corto plazo de exportaciones","2004Q2","2022Q4",75,FALSE,"La muestra efectiva queda acotada por datos faltantes dentro de la ventana base."
"d_ln_gdp_real","PIB real Argentina","log_difference","Dinamica de corto plazo de ingreso domestico","2004Q2","2022Q4",75,FALSE,"La muestra efectiva queda acotada por datos faltantes dentro de la ventana base."
"d_ln_itcrm","Tipo de cambio real multilateral","log_difference","Dinamica de corto plazo de precios relativos","2004Q2","2025Q4",87,FALSE,"La muestra efectiva queda acotada por datos faltantes dentro de la ventana base."
"d_ln_pib_socios","PIB de socios comerciales","log_difference","Dinamica de corto plazo de demanda externa","2004Q2","2025Q4",87,FALSE,"La muestra efectiva queda acotada por datos faltantes dentro de la ventana base."
"d_ln_commodity_price_index","Indice de precios de commodities","log_difference","Dinamica de corto plazo de condiciones externas","2004Q2","2025Q4",87,FALSE,"La muestra efectiva queda acotada por datos faltantes dentro de la ventana base."
