"system","test_type","null_hypothesis","null_rank","statistic","critical_10pct","critical_5pct","critical_1pct","reject_5pct","ecdet","spec","lag_k","season"
"imports","eigen","r <= 2 |",2,7.59788263182504,7.52,9.24,12.97,FALSE,"const","transitory",4,4
"imports","eigen","r <= 1 |",1,8.9143385241531,13.75,15.67,20.2,FALSE,"const","transitory",4,4
"imports","eigen","r = 0  |",0,18.9371806415625,19.77,22,26.81,FALSE,"const","transitory",4,4
"exports","eigen","r <= 2 |",2,5.84647915192663,7.52,9.24,12.97,FALSE,"const","transitory",4,4
"exports","eigen","r <= 1 |",1,11.3773390933857,13.75,15.67,20.2,FALSE,"const","transitory",4,4
"exports","eigen","r = 0  |",0,16.6934817740479,19.77,22,26.81,FALSE,"const","transitory",4,4
"imports","eigen","r <= 2 |",2,6.09828000205164,6.5,8.18,11.65,FALSE,"none","transitory",4,4
"imports","eigen","r <= 1 |",1,8.39482825832781,12.91,14.9,19.19,FALSE,"none","transitory",4,4
"imports","eigen","r = 0  |",0,17.5391819368872,18.9,21.07,25.75,FALSE,"none","transitory",4,4
"exports","eigen","r <= 2 |",2,3.38695723171288,6.5,8.18,11.65,FALSE,"none","transitory",4,4
"exports","eigen","r <= 1 |",1,7.90398271977259,12.91,14.9,19.19,FALSE,"none","transitory",4,4
"exports","eigen","r = 0  |",0,13.2376122166811,18.9,21.07,25.75,FALSE,"none","transitory",4,4
