"system","base_selected_lag","final_selected_lag","downstream_block","lag_used","uses_final_lag","feedback_role"
"imports",4,4,"VAR_lag_exclusion_wald",4,TRUE,"usa rezago final ajustado por diagnosticos"
"imports",4,4,"Johansen_rank_decision",4,TRUE,"usa rezago final ajustado por diagnosticos"
"imports",4,4,"vcorr_residual_autocorrelation",4,TRUE,"usa rezago final ajustado por diagnosticos"
"imports",4,4,"white_no_cross_heteroskedasticity",4,TRUE,"usa rezago final ajustado por diagnosticos"
"imports",4,4,"final_var_vec_treatment",4,TRUE,"resume diagnosticos y decisiones econometricas"
"exports",1,4,"VAR_lag_exclusion_wald",4,TRUE,"usa rezago final ajustado por diagnosticos"
"exports",1,4,"Johansen_rank_decision",4,TRUE,"usa rezago final ajustado por diagnosticos"
"exports",1,4,"vcorr_residual_autocorrelation",4,TRUE,"usa rezago final ajustado por diagnosticos"
"exports",1,4,"white_no_cross_heteroskedasticity",4,TRUE,"usa rezago final ajustado por diagnosticos"
"exports",1,4,"final_var_vec_treatment",4,TRUE,"resume diagnosticos y decisiones econometricas"
