"system","ecdet","spec","selected_var_lag","johansen_k","rank_used","equation","term","coefficient","coefficient_block","status","note","inference_available","inference_note"
"imports","const","transitory",4,4,1,"ln_imports_real.d","sd1",-0.148184665266025,"deterministic","ok","VECM estimado para importaciones con el rango de traza al 5%; se reporta como extension multivariada y respaldo del ECM uniecuacional.",FALSE,"cajorls no entrego errores estandar, estadisticos ni p-valores en una estructura exportable; se reportan coeficientes estimados."
"imports","const","transitory",4,4,1,"ln_imports_real.d","sd2",0.0736786534219188,"deterministic","ok","VECM estimado para importaciones con el rango de traza al 5%; se reporta como extension multivariada y respaldo del ECM uniecuacional.",FALSE,"cajorls no entrego errores estandar, estadisticos ni p-valores en una estructura exportable; se reportan coeficientes estimados."
"imports","const","transitory",4,4,1,"ln_imports_real.d","sd3",-0.0533292392436275,"deterministic","ok","VECM estimado para importaciones con el rango de traza al 5%; se reporta como extension multivariada y respaldo del ECM uniecuacional.",FALSE,"cajorls no entrego errores estandar, estadisticos ni p-valores en una estructura exportable; se reportan coeficientes estimados."
"imports","const","transitory",4,4,1,"ln_imports_real.d","ln_imports_real.dl1",0.00851794647231291,"short_run","ok","VECM estimado para importaciones con el rango de traza al 5%; se reporta como extension multivariada y respaldo del ECM uniecuacional.",FALSE,"cajorls no entrego errores estandar, estadisticos ni p-valores en una estructura exportable; se reportan coeficientes estimados."
"imports","const","transitory",4,4,1,"ln_imports_real.d","ln_gdp_real.dl1",0.826877064995668,"short_run","ok","VECM estimado para importaciones con el rango de traza al 5%; se reporta como extension multivariada y respaldo del ECM uniecuacional.",FALSE,"cajorls no entrego errores estandar, estadisticos ni p-valores en una estructura exportable; se reportan coeficientes estimados."
"imports","const","transitory",4,4,1,"ln_imports_real.d","ln_itcrm.dl1",0.00483800373021859,"short_run","ok","VECM estimado para importaciones con el rango de traza al 5%; se reporta como extension multivariada y respaldo del ECM uniecuacional.",FALSE,"cajorls no entrego errores estandar, estadisticos ni p-valores en una estructura exportable; se reportan coeficientes estimados."
"imports","const","transitory",4,4,1,"ln_imports_real.d","ln_imports_real.dl2",0.108059335370658,"short_run","ok","VECM estimado para importaciones con el rango de traza al 5%; se reporta como extension multivariada y respaldo del ECM uniecuacional.",FALSE,"cajorls no entrego errores estandar, estadisticos ni p-valores en una estructura exportable; se reportan coeficientes estimados."
"imports","const","transitory",4,4,1,"ln_imports_real.d","ln_gdp_real.dl2",-0.166821828919849,"short_run","ok","VECM estimado para importaciones con el rango de traza al 5%; se reporta como extension multivariada y respaldo del ECM uniecuacional.",FALSE,"cajorls no entrego errores estandar, estadisticos ni p-valores en una estructura exportable; se reportan coeficientes estimados."
"imports","const","transitory",4,4,1,"ln_imports_real.d","ln_itcrm.dl2",-0.133286096588645,"short_run","ok","VECM estimado para importaciones con el rango de traza al 5%; se reporta como extension multivariada y respaldo del ECM uniecuacional.",FALSE,"cajorls no entrego errores estandar, estadisticos ni p-valores en una estructura exportable; se reportan coeficientes estimados."
"imports","const","transitory",4,4,1,"ln_imports_real.d","ln_imports_real.dl3",-0.338628267723728,"short_run","ok","VECM estimado para importaciones con el rango de traza al 5%; se reporta como extension multivariada y respaldo del ECM uniecuacional.",FALSE,"cajorls no entrego errores estandar, estadisticos ni p-valores en una estructura exportable; se reportan coeficientes estimados."
"imports","const","transitory",4,4,1,"ln_imports_real.d","ln_gdp_real.dl3",0.536051004038602,"short_run","ok","VECM estimado para importaciones con el rango de traza al 5%; se reporta como extension multivariada y respaldo del ECM uniecuacional.",FALSE,"cajorls no entrego errores estandar, estadisticos ni p-valores en una estructura exportable; se reportan coeficientes estimados."
"imports","const","transitory",4,4,1,"ln_imports_real.d","ln_itcrm.dl3",-0.182192063435989,"short_run","ok","VECM estimado para importaciones con el rango de traza al 5%; se reporta como extension multivariada y respaldo del ECM uniecuacional.",FALSE,"cajorls no entrego errores estandar, estadisticos ni p-valores en una estructura exportable; se reportan coeficientes estimados."
"imports","const","transitory",4,4,1,"ln_gdp_real.d","sd1",-0.0431328745561608,"deterministic","ok","VECM estimado para importaciones con el rango de traza al 5%; se reporta como extension multivariada y respaldo del ECM uniecuacional.",FALSE,"cajorls no entrego errores estandar, estadisticos ni p-valores en una estructura exportable; se reportan coeficientes estimados."
"imports","const","transitory",4,4,1,"ln_gdp_real.d","sd2",0.102948744955635,"deterministic","ok","VECM estimado para importaciones con el rango de traza al 5%; se reporta como extension multivariada y respaldo del ECM uniecuacional.",FALSE,"cajorls no entrego errores estandar, estadisticos ni p-valores en una estructura exportable; se reportan coeficientes estimados."
"imports","const","transitory",4,4,1,"ln_gdp_real.d","sd3",-0.0568045192762468,"deterministic","ok","VECM estimado para importaciones con el rango de traza al 5%; se reporta como extension multivariada y respaldo del ECM uniecuacional.",FALSE,"cajorls no entrego errores estandar, estadisticos ni p-valores en una estructura exportable; se reportan coeficientes estimados."
"imports","const","transitory",4,4,1,"ln_gdp_real.d","ln_imports_real.dl1",0.0788507416742747,"short_run","ok","VECM estimado para importaciones con el rango de traza al 5%; se reporta como extension multivariada y respaldo del ECM uniecuacional.",FALSE,"cajorls no entrego errores estandar, estadisticos ni p-valores en una estructura exportable; se reportan coeficientes estimados."
"imports","const","transitory",4,4,1,"ln_gdp_real.d","ln_gdp_real.dl1",-0.000430926441475736,"short_run","ok","VECM estimado para importaciones con el rango de traza al 5%; se reporta como extension multivariada y respaldo del ECM uniecuacional.",FALSE,"cajorls no entrego errores estandar, estadisticos ni p-valores en una estructura exportable; se reportan coeficientes estimados."
"imports","const","transitory",4,4,1,"ln_gdp_real.d","ln_itcrm.dl1",-0.0319509490160012,"short_run","ok","VECM estimado para importaciones con el rango de traza al 5%; se reporta como extension multivariada y respaldo del ECM uniecuacional.",FALSE,"cajorls no entrego errores estandar, estadisticos ni p-valores en una estructura exportable; se reportan coeficientes estimados."
"imports","const","transitory",4,4,1,"ln_gdp_real.d","ln_imports_real.dl2",0.0821381747834962,"short_run","ok","VECM estimado para importaciones con el rango de traza al 5%; se reporta como extension multivariada y respaldo del ECM uniecuacional.",FALSE,"cajorls no entrego errores estandar, estadisticos ni p-valores en una estructura exportable; se reportan coeficientes estimados."
"imports","const","transitory",4,4,1,"ln_gdp_real.d","ln_gdp_real.dl2",-0.221278538714017,"short_run","ok","VECM estimado para importaciones con el rango de traza al 5%; se reporta como extension multivariada y respaldo del ECM uniecuacional.",FALSE,"cajorls no entrego errores estandar, estadisticos ni p-valores en una estructura exportable; se reportan coeficientes estimados."
"imports","const","transitory",4,4,1,"ln_gdp_real.d","ln_itcrm.dl2",-0.0190058433123657,"short_run","ok","VECM estimado para importaciones con el rango de traza al 5%; se reporta como extension multivariada y respaldo del ECM uniecuacional.",FALSE,"cajorls no entrego errores estandar, estadisticos ni p-valores en una estructura exportable; se reportan coeficientes estimados."
