"system","model_key","response","shock","horizon","share","status","message"
"imports","imports_levels_class_fevd","ln_imports_real","ln_imports_real",1,1,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_imports_real","ln_imports_real",2,0.972827220571661,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_imports_real","ln_imports_real",3,0.966274191389582,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_imports_real","ln_imports_real",4,0.950517392630114,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_imports_real","ln_imports_real",5,0.931619528539291,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_imports_real","ln_imports_real",6,0.886629647145198,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_imports_real","ln_imports_real",7,0.852231616075537,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_imports_real","ln_imports_real",8,0.833979758476883,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_imports_real","ln_imports_real",9,0.819697164764247,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_imports_real","ln_imports_real",10,0.789381686879512,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_imports_real","ln_imports_real",11,0.768036649327446,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_imports_real","ln_imports_real",12,0.758164481077076,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_imports_real","ln_gdp_real",1,0,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_imports_real","ln_gdp_real",2,0.0270994727183203,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_imports_real","ln_gdp_real",3,0.021146041337379,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_imports_real","ln_gdp_real",4,0.0173934780056052,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_imports_real","ln_gdp_real",5,0.0194365778482662,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_imports_real","ln_gdp_real",6,0.0472379794289353,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_imports_real","ln_gdp_real",7,0.0610552166064103,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_imports_real","ln_gdp_real",8,0.0655653910677403,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_imports_real","ln_gdp_real",9,0.0744624968737699,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_imports_real","ln_gdp_real",10,0.10289004479119,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_imports_real","ln_gdp_real",11,0.119735696685334,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_imports_real","ln_gdp_real",12,0.126381817298482,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_imports_real","ln_itcrm",1,0,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_imports_real","ln_itcrm",2,0.0000733067100183508,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_imports_real","ln_itcrm",3,0.0125797672730385,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_imports_real","ln_itcrm",4,0.0320891293642805,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_imports_real","ln_itcrm",5,0.0489438936124427,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_imports_real","ln_itcrm",6,0.0661323734258666,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_imports_real","ln_itcrm",7,0.0867131673180523,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_imports_real","ln_itcrm",8,0.100454850455377,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_imports_real","ln_itcrm",9,0.105840338361983,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_imports_real","ln_itcrm",10,0.107728268329298,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_imports_real","ln_itcrm",11,0.11222765398722,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_imports_real","ln_itcrm",12,0.115453701624442,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_gdp_real","ln_imports_real",1,0.518810228510083,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_gdp_real","ln_imports_real",2,0.605096901241471,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_gdp_real","ln_imports_real",3,0.688634988595533,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_gdp_real","ln_imports_real",4,0.716888374669004,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_gdp_real","ln_imports_real",5,0.627578264469651,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_gdp_real","ln_imports_real",6,0.60248868152059,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_gdp_real","ln_imports_real",7,0.593103150890124,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_gdp_real","ln_imports_real",8,0.59328181670189,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_gdp_real","ln_imports_real",9,0.536612352633285,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_gdp_real","ln_imports_real",10,0.522369310874126,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_gdp_real","ln_imports_real",11,0.51544654984891,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_gdp_real","ln_imports_real",12,0.515340989550515,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_gdp_real","ln_gdp_real",1,0.481189771489917,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_gdp_real","ln_gdp_real",2,0.389133411741306,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_gdp_real","ln_gdp_real",3,0.301939100847501,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_gdp_real","ln_gdp_real",4,0.274338724449001,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_gdp_real","ln_gdp_real",5,0.361512665823391,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_gdp_real","ln_gdp_real",6,0.364522635254978,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"imports","imports_levels_class_fevd","ln_gdp_real","ln_gdp_real",7,0.36000004585892,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
