system,panel,model_kind,response,shock,horizon,cumulative_response,lag,source
exports_augmented,Exportaciones ampliadas,diferencias,d_ln_exports_real,PIB de socios,0,0.0,4,"Python statsmodels VAR orth_cum_effects, same variables/lags as script decisions"
exports_augmented,Exportaciones ampliadas,diferencias,d_ln_exports_real,PIB de socios,4,0.02411495480683039,4,"Python statsmodels VAR orth_cum_effects, same variables/lags as script decisions"
exports_augmented,Exportaciones ampliadas,diferencias,d_ln_exports_real,PIB de socios,8,0.023232402154425822,4,"Python statsmodels VAR orth_cum_effects, same variables/lags as script decisions"
exports_augmented,Exportaciones ampliadas,diferencias,d_ln_exports_real,PIB de socios,12,0.02349833774552383,4,"Python statsmodels VAR orth_cum_effects, same variables/lags as script decisions"
exports_augmented,Exportaciones ampliadas,diferencias,d_ln_exports_real,ITCRM,0,0.0,4,"Python statsmodels VAR orth_cum_effects, same variables/lags as script decisions"
exports_augmented,Exportaciones ampliadas,diferencias,d_ln_exports_real,ITCRM,4,0.008988214154569787,4,"Python statsmodels VAR orth_cum_effects, same variables/lags as script decisions"
exports_augmented,Exportaciones ampliadas,diferencias,d_ln_exports_real,ITCRM,8,0.007607687548934023,4,"Python statsmodels VAR orth_cum_effects, same variables/lags as script decisions"
exports_augmented,Exportaciones ampliadas,diferencias,d_ln_exports_real,ITCRM,12,0.007700116155194831,4,"Python statsmodels VAR orth_cum_effects, same variables/lags as script decisions"
exports_augmented,Exportaciones ampliadas,diferencias,d_ln_exports_real,Commodities,0,0.0,4,"Python statsmodels VAR orth_cum_effects, same variables/lags as script decisions"
exports_augmented,Exportaciones ampliadas,diferencias,d_ln_exports_real,Commodities,4,0.016236493501333184,4,"Python statsmodels VAR orth_cum_effects, same variables/lags as script decisions"
exports_augmented,Exportaciones ampliadas,diferencias,d_ln_exports_real,Commodities,8,0.009930482991404326,4,"Python statsmodels VAR orth_cum_effects, same variables/lags as script decisions"
exports_augmented,Exportaciones ampliadas,diferencias,d_ln_exports_real,Commodities,12,0.009873320698509002,4,"Python statsmodels VAR orth_cum_effects, same variables/lags as script decisions"
exports,Exportaciones clasicas,diferencias,d_ln_exports_real,PIB de socios,0,0.0,4,"Python statsmodels VAR orth_cum_effects, same variables/lags as script decisions"
exports,Exportaciones clasicas,diferencias,d_ln_exports_real,PIB de socios,4,0.024290823953874968,4,"Python statsmodels VAR orth_cum_effects, same variables/lags as script decisions"
exports,Exportaciones clasicas,diferencias,d_ln_exports_real,PIB de socios,8,0.02231355561309472,4,"Python statsmodels VAR orth_cum_effects, same variables/lags as script decisions"
exports,Exportaciones clasicas,diferencias,d_ln_exports_real,PIB de socios,12,0.023432750322924592,4,"Python statsmodels VAR orth_cum_effects, same variables/lags as script decisions"
exports,Exportaciones clasicas,diferencias,d_ln_exports_real,ITCRM,0,0.0,4,"Python statsmodels VAR orth_cum_effects, same variables/lags as script decisions"
exports,Exportaciones clasicas,diferencias,d_ln_exports_real,ITCRM,4,0.008943911137362719,4,"Python statsmodels VAR orth_cum_effects, same variables/lags as script decisions"
exports,Exportaciones clasicas,diferencias,d_ln_exports_real,ITCRM,8,0.009075408043516918,4,"Python statsmodels VAR orth_cum_effects, same variables/lags as script decisions"
exports,Exportaciones clasicas,diferencias,d_ln_exports_real,ITCRM,12,0.00851544612495509,4,"Python statsmodels VAR orth_cum_effects, same variables/lags as script decisions"
imports,Importaciones,niveles,ln_imports_real,PIB argentino,0,0.0,4,"Python statsmodels VAR orth_cum_effects, same variables/lags as script decisions"
imports,Importaciones,niveles,ln_imports_real,PIB argentino,4,0.0336205450076082,4,"Python statsmodels VAR orth_cum_effects, same variables/lags as script decisions"
imports,Importaciones,niveles,ln_imports_real,PIB argentino,8,0.11186112472377974,4,"Python statsmodels VAR orth_cum_effects, same variables/lags as script decisions"
imports,Importaciones,niveles,ln_imports_real,PIB argentino,12,0.1979854963829628,4,"Python statsmodels VAR orth_cum_effects, same variables/lags as script decisions"
imports,Importaciones,niveles,ln_imports_real,ITCRM,0,0.0,4,"Python statsmodels VAR orth_cum_effects, same variables/lags as script decisions"
imports,Importaciones,niveles,ln_imports_real,ITCRM,4,-0.05741137969030105,4,"Python statsmodels VAR orth_cum_effects, same variables/lags as script decisions"
imports,Importaciones,niveles,ln_imports_real,ITCRM,8,-0.1418784482413897,4,"Python statsmodels VAR orth_cum_effects, same variables/lags as script decisions"
imports,Importaciones,niveles,ln_imports_real,ITCRM,12,-0.18813312446433547,4,"Python statsmodels VAR orth_cum_effects, same variables/lags as script decisions"
